,Date,Match,Promotion,Event,Rating,Participant 1,Participant 2,Participant 3,Participant 4,Participant 5,Participant 6,# of teams,Team Size,PPV
0,"April 7, 1982",Ric Flair vs. Butch Reed,CWF,Miami Beach show,5.0,['Ric Flair'],['Butch Reed'],,,,,2,1,False
1,"April 21, 1983",Dynamite Kid vs. Tiger Mask,NJPW,Big Fight Series IINight 19,5.0,['Dynamite Kid'],['Tiger Mask'],,,,,2,1,True
2,"December 5, 1984",Kazuo Yamazaki vs. Nobuhiko Takada,UWF,Year-End SpecialDay 10,5.0,['Kazuo Yamazaki'],['Nobuhiko Takada'],,,,,2,1,True
3,"December 8, 1984",Bruiser Brody and Stan Hansen vs. Dory Funk Jr. and Terry Funk,AJPW,Real World Tag LeagueNight 15,5.0,"['Bruiser Brody', 'Stan Hansen']","['Dory Funk Jr.', 'Terry Funk']",,,,,2,2,True
4,"March 9, 1985",Kuniaki Kobayashi vs. Tiger Mask,AJPW,85 Gekitoh! Exciting WarsNight 14,5.0,['Kuniaki Kobayashi'],['Tiger Mask'],,,,,2,1,True
5,"August 22, 1985",Lioness Asuka vs. Jaguar Yokota,AJW,Summer Night Festival in Budokan,5.0,['Lioness Asuka'],['Jaguar Yokota'],,,,,2,1,False
6,"January 28, 1986",Jumbo Tsuruta and Genichiro Tenryu vs. Riki Choshu and Yoshiaki Yatsu,AJPW,New Years War Super BattleNight 25,5.0,"['Jumbo Tsuruta', 'Genichiro Tenryu']","['Riki Choshu', 'Yoshiaki Yatsu']",,,,,2,2,True
7,"February 14, 1986",Ric Flair vs. Barry Windham,CWF,Battle of the Belts 2,5.0,['Ric Flair'],['Barry Windham'],,,,,2,1,False
8,"April 19, 1986",The Fantastics (Bobby Fulton and Tommy Rogers) vs. The Sheepherders (Butch Miller and Luke Williams),JCP,Crockett Cup,5.0,"['Bobby Fulton', 'Tommy Rogers']","['Butch Miller', 'Luke Williams']",,,,,2,2,True
9,"January 20, 1987",Ric Flair vs. Barry Windham,JCP,World Wide Wrestling,5.0,['Ric Flair'],['Barry Windham'],,,,,2,1,False
10,"February 26, 1987",Chigusa Nagayo vs. Lioness Asuka,AJW,Kawasaki show,5.0,['Chigusa Nagayo'],['Lioness Asuka'],,,,,2,1,False
11,"March 20, 1987",Akira Maeda and Nobuhiko Takada vs. Keiji Mutoh and Shiro Koshinaka,NJPW,Spring Flare UpNight 21,5.0,"['Akira Maeda', 'Nobuhiko Takada']","['Keiji Mutoh', 'Shiro Koshinaka']",,,,,2,2,True
12,"April 11, 1987",Ric Flair vs. Barry Windham,JCP,Crockett Cup,5.0,['Ric Flair'],['Barry Windham'],,,,,2,1,True
13,"July 31, 1987","Paul Ellering, The Road Warriors (Hawk and Animal), and The Super Powers (Dusty Rhodes and Nikita Koloff) vs. The Four Horsemen (Arn Anderson, Lex Luger, Ric Flair, The War Machine, and Tully Blanchard)",JCP,The Great American Bash,5.0,"['Paul Ellering', 'Hawk', 'Animal', 'Dusty Rhodes', 'Nikita Koloff']","['Arn Anderson', 'Lex Luger', 'Ric Flair', 'The War Machine', 'Tully Blanchard']",,,,,2,5,True
14,"December 6, 1987","Chigusa Nagayo, Mika Suzuki, Mika Takahashi, Yachiya Hirata, Yumi Ogura, and Yumiko Hotta vs. Etsuko Mita, Kazue Nagahori, Lioness Asuka, Mika Komatsu, Mitsuko Nishiwaki, and Sachiko Nakamura",AJW,Unknown,5.0,"['Chigusa Nagayo', 'Mika Suzuki', 'Mika Takahashi', 'Yachiya Hirata', 'Yumi Ogura', 'Yumiko Hotta']","['Etsuko Mita', 'Kazue Nagahori', 'Lioness Asuka', 'Mika Komatsu', 'Mitsuko Nishiwaki', 'Sachiko Nakamura']",,,,,2,6,False
15,"December 16, 1988",Genichiro Tenryu and Toshiaki Kawada vs. Stan Hansen and Terry Gordy,AJPW,Real World Tag LeagueNight 23,5.0,"['Genichiro Tenryu', 'Toshiaki Kawada']","['Stan Hansen', 'Terry Gordy']",,,,,2,2,True
16,"January 28, 1989","Genichiro Tenryu, Toshiaki Kawada, and Samson Fuyuki vs. Jumbo Tsuruta, Yoshiaki Yatsu, and Masanobu Fuchi",AJPW,New Year Giant SeriesNight 17,5.0,"['Genichiro Tenryu', 'Toshiaki Kawada', 'Samson Fuyuki']","['Jumbo Tsuruta', 'Yoshiaki Yatsu', 'Masanobu Fuchi']",,,,,2,3,True
17,"February 20, 1989",Ric Flair vs. Ricky Steamboat,WCW,Chi-Town Rumble,5.0,['Ric Flair'],['Ricky Steamboat'],,,,,2,1,True
18,"March 18, 1989",Ric Flair vs. Ricky Steamboat,WCW,"Landover, MD show",6.0,['Ric Flair'],['Ricky Steamboat'],,,,,2,1,False
19,"April 2, 1989",Ric Flair vs. Ricky Steamboat,WCW,Clash of the Champions VI,5.0,['Ric Flair'],['Ricky Steamboat'],,,,,2,1,True
20,"May 7, 1989",Ric Flair vs. Ricky Steamboat,WCW,WrestleWar,5.0,['Ric Flair'],['Ricky Steamboat'],,,,,2,1,True
21,"June 5, 1989",Jumbo Tsuruta vs. Genichiro Tenryu,AJPW,Super Power SeriesNight 18,5.0,['Jumbo Tsuruta'],['Genichiro Tenryu'],,,,,2,1,True
22,"November 15, 1989",Ric Flair vs. Terry Funk,WCW,Clash of the Champions IX,5.0,['Ric Flair'],['Terry Funk'],,,,,2,1,True
23,"January 31, 1990",Jushin Thunder Liger vs. Naoki Sano,NJPW,New Spring Gold Series,5.0,['Jushin Thunder Liger'],['Naoki Sano'],,,,,2,1,True
24,"June 8, 1990",Jumbo Tsuruta vs. Mitsuharu Misawa,AJPW,Super Power SeriesNight 19,5.0,['Jumbo Tsuruta'],['Mitsuharu Misawa'],,,,,2,1,True
25,"September 30, 1990",Jumbo Tsuruta and Akira Taue vs. Mitsuharu Misawa and Toshiaki Kawada,AJPW,October Giant SeriesNight 2,5.0,"['Jumbo Tsuruta', 'Akira Taue']","['Mitsuharu Misawa', 'Toshiaki Kawada']",,,,,2,2,True
26,"October 19, 1990","Mitsuharu Misawa, Toshiaki Kawada, and Kenta Kobashi vs. Jumbo Tsuruta, Masanobu Fuchi, and Akira Taue",AJPW,October Giant SeriesNight 16,5.0,"['Mitsuharu Misawa', 'Toshiaki Kawada', 'Kenta Kobashi']","['Jumbo Tsuruta', 'Masanobu Fuchi', 'Akira Taue']",,,,,2,3,True
27,"January 4, 1991",Akira Hokuto vs. Bull Nakano,AJW,Korakuen Hall show,5.0,['Akira Hokuto'],['Bull Nakano'],,,,,2,1,False
28,"February 24, 1991","The Four Horsemen (Barry Windham, Larry Zbyszko, Ric Flair, and Sid Vicious) vs. Brian Pillman, Sting, and The Steiner Brothers (Rick Steiner and Scott Steiner)",WCW,WrestleWar,5.0,"['Barry Windham', 'Larry Zbyszko', 'Ric Flair', 'Sid Vicious']","['Brian Pillman', 'Sting', 'Rick Steiner', 'Scott Steiner']",,,,,2,4,True
