,Date,Match,Promotion,Event,Rating,# of teams,Team Size,PPV,Wrestler 1,Wrestler 2,Wrestler 3,Wrestler 4,Wrestler 5,Wrestler 6,Wrestler 7,Wrestler 8,Wrestler 9,Wrestler 10,Wrestler 11,Wrestler 12
0,"April 7, 1982",Ric Flair vs. Butch Reed,CWF,Miami Beach show,5,2,1,FALSE,Ric Flair,Butch Reed,,,,,,,,,,
1,"April 21, 1983",Dynamite Kid vs. Tiger Mask,NJPW,Big Fight Series IINight 19,5,2,1,TRUE,Dynamite Kid,Satoru Sayama,,,,,,,,,,
2,"December 5, 1984",Kazuo Yamazaki vs. Nobuhiko Takada,UWF,Year-End SpecialDay 10,5,2,1,TRUE,Kazuo Yamazaki,Nobuhiko Takada,,,,,,,,,,
3,"December 8, 1984",Bruiser Brody and Stan Hansen vs. Dory Funk Jr. and Terry Funk,AJPW,Real World Tag LeagueNight 15,5,2,2,TRUE,Bruiser Brody,Stan Hansen,Dory Funk Jr.,Terry Funk,,,,,,,,
4,"March 9, 1985",Kuniaki Kobayashi vs. Tiger Mask,AJPW,85 Gekitoh! Exciting WarsNight 14,5,2,1,TRUE,Kuniaki Kobayashi,Mitsuharu Misawa,,,,,,,,,,
5,"August 22, 1985",Lioness Asuka vs. Jaguar Yokota,AJW,Summer Night Festival in Budokan,5,2,1,FALSE,Lioness Asuka,Jaguar Yokota,,,,,,,,,,
6,"January 28, 1986",Jumbo Tsuruta and Genichiro Tenryu vs. Riki Choshu and Yoshiaki Yatsu,AJPW,New Years War Super BattleNight 25,5,2,2,TRUE,Jumbo Tsuruta,Genichiro Tenryu,Riki Choshu,Yoshiaki Yatsu,,,,,,,,
7,"February 14, 1986",Ric Flair vs. Barry Windham,CWF,Battle of the Belts 2,5,2,1,FALSE,Ric Flair,Barry Windham,,,,,,,,,,
8,"April 19, 1986",The Fantastics (Bobby Fulton and Tommy Rogers) vs. The Sheepherders (Butch Miller and Luke Williams),JCP,Crockett Cup,5,2,2,TRUE,Bobby Fulton,Tommy Rogers,Butch Miller,Luke Williams,,,,,,,,
9,"January 20, 1987",Ric Flair vs. Barry Windham,JCP,World Wide Wrestling,5,2,1,FALSE,Ric Flair,Barry Windham,,,,,,,,,,
10,"February 26, 1987",Chigusa Nagayo vs. Lioness Asuka,AJW,Kawasaki show,5,2,1,FALSE,Chigusa Nagayo,Lioness Asuka,,,,,,,,,,
11,"March 20, 1987",Akira Maeda and Nobuhiko Takada vs. Keiji Mutoh and Shiro Koshinaka,NJPW,Spring Flare UpNight 21,5,2,2,TRUE,Akira Maeda,Nobuhiko Takada,Keiji Mutoh,Shiro Koshinaka,,,,,,,,
12,"April 11, 1987",Ric Flair vs. Barry Windham,JCP,Crockett Cup,5,2,1,TRUE,Ric Flair,Barry Windham,,,,,,,,,,
13,"July 31, 1987","Paul Ellering, The Road Warriors (Hawk and Animal), and The Super Powers (Dusty Rhodes and Nikita Koloff) vs. The Four Horsemen (Arn Anderson, Lex Luger, Ric Flair, The War Machine, and Tully Blanchard)",JCP,The Great American Bash,5,2,5,TRUE,Paul Ellering,Hawk,Animal,Dusty Rhodes,Nikita Koloff,Arn Anderson,Lex Luger,Ric Flair,The War Machine,Tully Blanchard,,
14,"December 6, 1987","Chigusa Nagayo, Mika Suzuki, Mika Takahashi, Yachiya Hirata, Yumi Ogura, and Yumiko Hotta vs. Etsuko Mita, Kazue Nagahori, Lioness Asuka, Mika Komatsu, Mitsuko Nishiwaki, and Sachiko Nakamura",AJW,Unknown,5,2,6,FALSE,Chigusa Nagayo,Mika Suzuki,Mika Takahashi,Yachiya Hirata,Yumi Ogura,Yumiko Hotta,Etsuko Mita,Kazue Nagahori,Lioness Asuka,Mika Komatsu,Mitsuko Nishiwaki,Sachiko Nakamura
15,"December 16, 1988",Genichiro Tenryu and Toshiaki Kawada vs. Stan Hansen and Terry Gordy,AJPW,Real World Tag LeagueNight 23,5,2,2,TRUE,Genichiro Tenryu,Toshiaki Kawada,Stan Hansen,Terry Gordy,,,,,,,,
16,"January 28, 1989","Genichiro Tenryu, Toshiaki Kawada, and Samson Fuyuki vs. Jumbo Tsuruta, Yoshiaki Yatsu, and Masanobu Fuchi",AJPW,New Year Giant SeriesNight 17,5,2,3,TRUE,Genichiro Tenryu,Toshiaki Kawada,Samson Fuyuki,Jumbo Tsuruta,Yoshiaki Yatsu,Masanobu Fuchi,,,,,,
