,Real Name,Birthplace,Date of Birth,wrestler_name,Weight and Height,Debut,Date of Death,Height,Weight
11676,unknown,Santo Domingo (Dominican Republic),30th May 1966 (age 55),El Dinámico,,,,,
11677,Marco Antônio de Lima Ruas,"Río de Janeiro, Río de Janeiro (Brazil)",23rd January 1961 (age 61),Marco Ruas,210 lbs. (95 kg) at 6'1'' (1.85 m),30th October 1984 (37 years ago),,,
11678,unknown,"Honolulu, Hawaii (United States of America)",,Ricky Kwong,205 lbs. (93 kg) at 6'0'' (1.83 m),,,,
11679,Darío Rodríguez López,Mexico,,Piratita Morgan #2,172 lbs. (78 kg) at 4'9'' (1.45 m),25th January 1997 (25 years ago),,,
11680,unknown,Mexico,31st January 1971 (age 51),Pentagoncito Black,,1993,,,
11681,Marco Antonio Guillén Soto,Mexico,1985,Guizmo,,2006,,,
11682,unknown,Mexico,30th October ???,Odiseo,,7th July ???,,,
11687,unknown,Mexico,,Linterna Verde,,,,,
11691,unknown,,,Suzette Ferrera ,,,,,
11692,Arthur David Lefler,"Franklin, Kentucky (United States of America)",,Rick Fargo,,,,,
11694,Carl Restall,United Kingdom,,Karl Atlas,294 lbs. (133 kg) at 6'2'' (1.88 m),,,,
11695,unknown,,1952,John Copping,,,26th November 2012,,
11701,Tom Russon,"Dudley, West Midlands, England (United Kingdom)",13th April 1984 (age 37),Lord Graham Thomas,217 lbs. (98 kg) at 5'10'' (1.78 m),18th December 2005 (16 years ago),,,
11702,Rocco Malce,,,Axl Future,,,,,
11703,unknown,,,Rockin' Agony,,,,,
11704,unknown,"Montréal, Quebec (Canada)",3rd May 1984 (age 37),Josianne ,118 lbs. (54 kg) at 5'5'' (1.65 m),,,,
11705,unknown,"Thunder Bay, Ontario (Canada)",,Ryan Slade,170 lbs. (77 kg) at 6'1'' (1.85 m),,,,
11706,Arda Öcal,"Toronto, Ontario (Canada)",7th May 1981 (age 40),Arda Ocal,,,,,
11708,unknown,,,John Buford,,,,,
11709,unknown,,,Ricky Stallone,,,,,
11710,unknown,New Jersey (United States of America),,Jerry Johnson,,,,,
11713,Mike Wessel,"Celina, Ohio (United States of America)",,Mike Wessel,260 lbs. (118 kg) at 6'0'' (1.83 m),27th October 2007 (14 years ago),,,
11716,unknown,,,Barry Taras,,,,,
11717,unknown,,21st October 1978 (age 43),Szandor,,,,,
11718,unknown,,,Tank Wilowski,,,,,
11719,Brandon Kaplack,"Dunbar, Pennsylvania (United States of America)",,Brandon K,205 lbs. (93 kg) at 5'9'' (1.75 m),1998,,,
11720,unknown,"Cherbourg-en-Cotentin, Normandie (France)",31st October 1987 (age 34),Hooligan Beef,,2007,,,
11723,Elvis Sinosic,"Canberra, Australian Capital Territory (Australia)",13th February 1971 (age 51),Elvis Sinosic,205 lbs. (93 kg) at 6'3'' (1.91 m),22nd March 1997 (24 years ago),,,
11724,Eugene Jackson,"East Palo Alto, California (United States of America)",31st December 1969 (age 52),Eugene Jackson,185 lbs. (84 kg) at 5'8'' (1.73 m),21st March 1998 (23 years ago),,,
11726,unknown,Canada,,Santo Electrico,152 lbs. (69 kg) at 5'9'' (1.75 m),2006,,,
11727,Kim Varin,Quebec (Canada),,Anna Minoushka ,220 lbs. (100 kg) at 5'5'' (1.65 m),16th November 2002 (19 years ago),,,
11728,unknown,Quebec (Canada),,Raage,,,,,
11729,unknown,"Madero, Tamaulipas (Mexico)",5th December 1963 (age 58),La Figura,203 lbs. (92 kg) at 5'11'' (1.80 m),1984,,,
