,Real Name,Birthplace,Date of Birth,wrestler_name,Weight and Height,Debut,Date of Death,Weight,Height
20482,Donald Smith,"Livermore, California (United States of America)",23rd May 1930 (age 91),Moe Smith,,,,,
20483,Koichiro Matsumoto,"Tokushima, Tokushima (Japan)",7th March 1986 (age 36),Koichiro Matsumoto,145 lbs. (66 kg) at 5'7'' (1.70 m),6th May 2007 (14 years ago),,,
20484,unknown,Chiba (Japan),17th July 1982 (age 39),Naohiro Katsumi,165 lbs. (75 kg) at 5'7'' (1.70 m),,,,
20485,unknown,"Yonezawa, Yamagata (Japan)",29th May 1984 (age 37),Naoki Matsumoto,168 lbs. (76 kg) at 5'7'' (1.70 m),,,,
20487,unknown,"Tsubame, Niigata (Japan)",5th July 1986 (age 35),Yusuke Shimizu,170 lbs. (77 kg) at 5'8'' (1.73 m),,,,
20489,unknown,"Fukuoka, Fukuoka (Japan)",30th September 1979 (age 42),Koichi Nagari,163 lbs. (74 kg) at 5'7'' (1.70 m),,,,
20490,unknown,Japan,,Kendo Busan,172 lbs. (78 kg) at 5'7'' (1.70 m),,,,
20491,unknown,Guatemala,,Terminator,,,,,
20492,unknown,Guatemala,9th March 1969 (age 53),Voltron,220 lbs. (100 kg) at 5'8'' (1.73 m),7th June 1986 (35 years ago),,,
20493,unknown,"Ciudad de México, Ciudad de México (Mexico)",,X-Psicopata,,,,,
20494,unknown,Mexico,,Maravilla Roja,,,,,
20495,Erick Bernardo Quinteros Maldonado,"Santiago de Chile, Región Metropolitana de Santiago (Chile)",26th September 1989 (age 32),Taylor Wolf,210 lbs. (95 kg) at 5'10'' (1.78 m),26th September 2009 (12 years ago),,,
20497,Atsushi Moriyasu,"Nogata, Fukuoka (Japan)",22nd October 1977 (age 44),Oga,265 lbs. (120 kg) at 5'11'' (1.80 m),,,,
20498,unknown,,,Sammy Nettles,,,,,
20502,unknown,"Elk Grove, California (United States of America)",,Anthony Butabi,200 lbs. (91 kg) at 6'0'' (1.83 m),15th November 2009 (12 years ago),,,
20503,unknown,"Ceres, California (United States of America)",,Bobby Hart,253 lbs. (115 kg) at 6'1'' (1.85 m),2000,,,
20504,Bobby Lee Simmons,"Atlanta, Georgia (United States of America)",7th May 1955 (age 66),Bobby Simmons,,,,,
20505,unknown,"Xalapa Enríquez, Veracruz de Ignacio de la Llave (Mexico)",1st May 1987 (age 34),Princesa Egipcia ,121 lbs. (55 kg) at 5'3'' (1.60 m),,,,
20507,unknown,,,D. A. McMillan,,,,,
20508,unknown,"Baltimore, Maryland (United States of America)",,Ashley Nicely,105 lbs. (48 kg) at 5'1'' (1.55 m),,,,
20511,unknown,,,Apostle Steele,,,,,
20512,unknown,,,Thomas Farnsworth,,,,,
20513,unknown,"Pasadena, Maryland (United States of America)",,Brian Hardy,,,,,
20514,unknown,,,Louis Rich,,,,,
20519,Reggie Rivers,,23rd March 1985,Prodigy PTV,,,7th June 2015,,
20520,Yusaku Nakamura,"Osaka, Osaka (Japan)",21st June 1986 (age 35),Yusaku Nakamura,135 lbs. (61 kg) at 5'5'' (1.65 m),24th January 2010 (12 years ago),,,
20521,David Herchelroath,"McKeesport, Pennsylvania (United States of America)",12th November 1967 (age 54),Gator,,,,,
20522,unknown,Kanagawa (Japan),3rd September 1970 (age 51),Kiyoshi Hamaya,190 lbs. (86 kg) at 5'9'' (1.75 m),,,,
20523,unknown,,,Koryuki,,,,,
20524,unknown,,,The Duke,,,,,
20525,unknown,"Cleveland, Ohio (United States of America)",,Aero,,,,121 lbs. (55 kg),
20528,Dominic W. Doganiero,,11th December 1921,Dominic Doganiero,,,27th February 1994,,
20529,Woody Lee Coulter,"Lima, Ohio (United States of America)",1st March 1951,Woody Lee,,1987,9th November 2014,,
20531,unknown,,3rd June 1981 (age 40),Justin Baesman,170 lbs. (77 kg) at 5'10'' (1.78 m),,,,
20533,unknown,,,Steven Drochner,,,,,
20534,unknown,"Warszawa, Mazowieckie (Poland)",,Jaron Skalka,185 lbs. (84 kg) at 6'0'' (1.83 m),18th September 2010 (11 years ago),,,
20535,unknown,Guatemala,,Súper Parka Latina,,,,,
20536,unknown,Guatemala,,Slayer,,,,,
20538,unknown,La Nueva Guatemala de la Asunción (Guatemala),,Starman Jr.,,,,,
20539,unknown,Guatemala,,Rayo de Oro,,,,,
20540,unknown,Nagasaki (Japan),20th August 1973 (age 48),Koichi Takemura,190 lbs. (86 kg) at 5'7'' (1.70 m),,,,
20541,Jeremy Perry,Indiana (United States of America),14th August 1979 (age 42),Hank Calhoun,230 lbs. (104 kg) at 6'2'' (1.88 m),2000,,,
20542,Jymmy Wheat,"South Bend, Indiana (United States of America)",1983,Jymmy W,,,,,5'10'' (1.78 m)
20543,Jared Rosholt,"Sandpoint, Idaho (United States of America)",4th August 1986 (age 35),Jared Rosholt,240 lbs. (109 kg) at 6'2'' (1.88 m),26th February 2011 (11 years ago),,,
20545,Mike Borchert,"Lübeck, Schleswig-Holstein (Germany)",,Mike Violence,238 lbs. (108 kg) at 6'1'' (1.85 m),,,,
20547,unknown,"New York City, New York (United States of America)",,Nickie Valentino ,196 lbs. (89 kg) at 5'7'' (1.70 m),??th December 2008,,,
20549,unknown,,,Chris Clow,,,,,
20550,unknown,,,Savannah Riley,,,,,
20552,unknown,,,R.Cade,,,,,
20554,unknown,"Austin, Texas (United States of America)",24th April ???,Ethan Price,,,,,
20557,unknown,,,Bruce Austin,,,,,
20561,Thomas Lentych,Indiana (United States of America),1939,Tom Lynch,,1970,,,5'8'' (1.73 m)
20563,unknown,"Chicago, Illinois (United States of America)",29th July 1946,Duke George,,,6th July 2016,,
20564,unknown,,,Blackie Guzman,,,,,
20566,unknown,Guerrero (Mexico),,Némesis,,,,,
20567,unknown,Puebla (Mexico),,Ángel Fly,,,,,
20568,unknown,Puebla (Mexico),,Shura,,,,,
