,Real Name,Weight and Height,Birthplace,Date of Birth,Debut,wrestler_name,Date of Death,Height,Weight
876,Tully Blanchard,235 lbs. (107 kg) at 5'10'' (1.78 m),"San Antonio, Texas (United States of America)",22nd January 1954 (age 68),1974,Tully Blanchard,,,
2140,Víctor Manuel Soto Flores,174 lbs. (79 kg) at 5'9'' (1.75 m),"Ciudad de México, Ciudad de México (Mexico)",23rd July 1979 (age 42),??th April 1998,Drago,,,
22661,Khabib Nurmagomedov,155 lbs. (70 kg) at 5'10'' (1.78 m),"Machatschkala, Dagestan (Russia)",20th September 1988 (age 33),13th September 2008 (13 years ago),Khabib Nurmagomedov,,,
443,John Randall Hennigan,215 lbs. (98 kg) at 6'0'' (1.83 m),"Los Angeles, California (United States of America)",3rd October 1979 (age 42),2002,John Hennigan,,,
651,Daniel Lyon,240 lbs. (109 kg) at 6'0'' (1.83 m),"Los Angeles, California (United States of America)",23rd May 1975 (age 46),1997,Super Dragon,,,
7538,Wanderlei Cesar da Silva,185 lbs. (84 kg) at 5'11'' (1.80 m),"Curitiba, Paraná (Brazil)",3rd July 1976 (age 45),1st November 1996 (25 years ago),Wanderlei Silva,,,
2086,Daniel Allen Hodge,220 lbs. (100 kg) at 5'10'' (1.78 m),"Perry, Oklahoma (United States of America)",13th May 1932,2nd October 1959 (62 years ago),Danny Hodge,25th December 2020,,
11839,Ikuhisa Minowa,185 lbs. (84 kg) at 5'9'' (1.75 m),"Hashima, Gifu (Japan)",12th January 1976 (age 46),30th March 1996 (25 years ago),Minowaman,,,
8063,Maurício Milani Rua,205 lbs. (93 kg) at 6'1'' (1.85 m),"Curitiba, Paraná (Brazil)",25th November 1981 (age 40),1st August 2003 (18 years ago),Maurício Rua,,,
1648,William A. Robinson,240 lbs. (109 kg) at 5'11'' (1.80 m),"Manchester, Greater Manchester, England (United Kingdom)",18th September 1938,1955,Billy Robinson,27th February 2014,,
8887,Frank James Edgar,145 lbs. (66 kg) at 5'6'' (1.68 m),"Summit, New Jersey (United States of America)",16th October 1981 (age 40),29th October 2005 (16 years ago),Frankie Edgar,,,
1568,Frank Donald Goodish,325 lbs. (147 kg) at 6'8'' (2.03 m),United States of America,18th June 1946,1973,Bruiser Brody,17th July 1988,,
6030,John Miller,154 lbs. (70 kg) at 5'8'' (1.73 m),"Manchester, Greater Manchester, England (United Kingdom)",29th June 1942 (age 79),??th June 1958,Johnny Saint,,,
55,David Smith,260 lbs. (118 kg) at 5'11'' (1.80 m),"Golborne, Greater Manchester, England (United Kingdom)",28th November 1962,1978,Davey Boy Smith,18th May 2002,,
29,Michael Lee Alfonso,292 lbs. (132 kg) at 6'6'' (1.98 m),"Tampa, Florida (United States of America)",24th January 1965,??th February 1989,Mike Awesome,17th February 2007,,
353,Masahiro Chono,238 lbs. (108 kg) at 6'1'' (1.85 m),"Seattle, Washington (United States of America)",17th September 1963 (age 58),5th October 1984 (37 years ago),Masahiro Chono,,,
2067,Jonathan Good,225 lbs. (102 kg) at 6'4'' (1.93 m),"Cincinnati, Ohio (United States of America)",7th December 1985 (age 36),??th June 2004,Jon Moxley,,,
12066,José Aldo da Silva Oliveira Júnior,145 lbs. (66 kg) at 5'7'' (1.70 m),"Manaus, Amazonas (Brazil)",9th September 1986 (age 35),10th April 2004 (17 years ago),José Aldo,,,
21110,Mercedes Justine Kaestner-Varnado,115 lbs. (52 kg) at 5'5'' (1.65 m),"Fairfield, California (United States of America)",26th January 1992 (age 30),8th August 2010 (11 years ago),Sasha Banks ,,,
420,Chris Spradlin,225 lbs. (102 kg) at 6'4'' (1.93 m),"Dayton, Ohio (United States of America)",24th December 1979 (age 42),12th September 1998 (23 years ago),Kassius Ohno,,,
551,Tatsumi Fujinami,238 lbs. (108 kg) at 6'0'' (1.83 m),"Oita, Oita (Japan)",28th December 1953 (age 68),9th May 1971 (50 years ago),Tatsumi Fujinami,,,
4245,unknown,174 lbs. (79 kg) at 5'9'' (1.75 m),"Guadalajara, Jalisco (Mexico)",3rd November 1988 (age 33),14th July 2005 (16 years ago),Máscara Dorada,,,
622,Mariela Balbueno Torres,231 lbs. (105 kg) at 5'3'' (1.60 m),"Ciudad de México, Ciudad de México (Mexico)",15th October 1979 (age 42),15th October 1996 (25 years ago),Mari Apache ,,,
600,Emily Sharp,115 lbs. (52 kg) at 5'4'' (1.63 m),"Cape Girardeau, Missouri (United States of America)",11th May 1983 (age 38),29th March 2002 (19 years ago),Daizee Haze ,,,
13,Robert Alexander Szatkowski,235 lbs. (107 kg) at 6'0'' (1.83 m),"Battle Creek, Michigan (United States of America)",18th December 1970 (age 51),1990,Rob Van Dam,,,
668,Ayako Valentina Hamada Villarreal,132 lbs. (60 kg) at 5'4'' (1.63 m),"Ciudad de México, Ciudad de México (Mexico)",14th February 1981 (age 41),9th August 1998 (23 years ago),Ayako Hamada ,,,
653,Larissa Vados,130 lbs. (59 kg) at 5'6'' (1.68 m),"Minneapolis, Minnesota (United States of America)",27th April 1983 (age 38),??th August 2000,Lacey ,,,
2,Scott Anthony Levy,244 lbs. (111 kg) at 6'0'' (1.83 m),"Short Hills, New Jersey (United States of America)",8th September 1964 (age 57),20th February 1988 (34 years ago),Raven,,,
222,Brian William Pillman,235 lbs. (107 kg) at 6'0'' (1.83 m),"Norwood, Ohio (United States of America)",22nd May 1962,25th October 1986 (35 years ago),Brian Pillman,5th October 1997,,
1581,Terry Allen,245 lbs. (111 kg) at 6'1'' (1.85 m),"Chesapeake, Virginia (United States of America)",11th June 1959 (age 62),1977,Magnum TA,,,
1841,Sebastiaan Rutten,205 lbs. (93 kg) at 6'1'' (1.85 m),"Tilburg, Noord-Brabant (Netherlands)",24th February 1965 (age 57),21st September 1993 (28 years ago),Bas Rutten,,,
7133,Matthew Allen Hughes,170 lbs. (77 kg) at 5'9'' (1.75 m),"Hillsboro, Illinois (United States of America)",13th October 1973 (age 48),25th April 1998 (23 years ago),Matt Hughes,,,
6435,Royce Gracie,175 lbs. (79 kg) at 6'1'' (1.85 m),"Río de Janeiro, Río de Janeiro (Brazil)",12th December 1966 (age 55),12th November 1993 (28 years ago),Royce Gracie,,,
1796,George Burrell Woodin,230 lbs. (104 kg) at 6'0'' (1.83 m),"Charlotte, North Carolina (United States of America)",28th November 1934,1963,Mr. Wrestling,30th November 2002,,
212,Shannon Claire Spruill,125 lbs. (57 kg) at 5'6'' (1.68 m),"Wiesbaden, Hessen (Germany)",17th July 1975,6th December 1999 (22 years ago),Daffney ,1st September 2021,,
67,Richard Morgan Fliehr,243 lbs. (110 kg) at 6'1'' (1.85 m),"Memphis, Tennessee (United States of America)",25th February 1949 (age 73),10th December 1972 (49 years ago),Ric Flair,,,
4247,unknown,198 lbs. (90 kg) at 5'9'' (1.75 m),Mexico,6th July 1990 (age 31),26th November 2006 (15 years ago),Puma King,,,
1441,Johnny Walker,244 lbs. (111 kg) at 6'0'' (1.83 m),"Charleston, South Carolina (United States of America)",10th September 1934,1956,Mr. Wrestling #2,10th June 2020,,
1910,Jenna Grattan,128 lbs. (58 kg) at 5'4'' (1.63 m),"Brockville, Ontario (Canada)",26th October 1987 (age 34),??th December 2003,Portia Pérez ,,,
32852,Raquel Lourenço,128 lbs. (58 kg) at 5'5'' (1.65 m),"Lisboa, Região de Lisboa (Portugal)",21st March 1992 (age 29),26th September 2010 (11 years ago),Killer Kelly ,,,
417,Yoshihiro Asai,185 lbs. (84 kg) at 5'8'' (1.73 m),"Nagoya, Aichi (Japan)",12th December 1966 (age 55),13th May 1987 (34 years ago),Último Dragón,,,
27667,Alexis Kaufman,102 lbs. (46 kg) at 5'1'' (1.55 m),"Columbus, Ohio (United States of America)",9th August 1991 (age 30),20th September 2013 (8 years ago),Alexa Bliss ,,,
23236,William Peter Charles Ospreay,225 lbs. (102 kg) at 6'1'' (1.85 m),"London, Greater London, England (United Kingdom)",7th May 1993 (age 28),1st April 2012 (9 years ago),Will Ospreay,,,
4363,John Anthony Nicholas Gargano,170 lbs. (77 kg) at 5'10'' (1.78 m),"Lakewood, Ohio (United States of America)",14th August 1987 (age 34),2005,Johnny Gargano,,,
1005,Nobuhiko Takada,210 lbs. (95 kg) at 6'0'' (1.83 m),"Yokohama, Kanagawa (Japan)",12th April 1962 (age 59),9th May 1981 (40 years ago),Nobuhiko Takada,,,
33,Glenn Thomas Jacobs,310 lbs. (141 kg) at 6'8'' (2.03 m),"Madrid, Comunidad de Madrid (Spain)",26th April 1967 (age 54),18th June 1992 (29 years ago),Kane,,,
5998,Emanuel Alejandro Rodríguez,170 lbs. (77 kg) at 5'6'' (1.68 m),"Chicago, Illinois (United States of America)",14th November 1986 (age 35),2006,Samuray del Sol,,,
14663,Ghulam Muhammad,,"Amritsar, Punjab (India)",1880,,Great Gama,22nd May 1963,5'7'' (1.70 m),
411,Gail Kim Irvine,120 lbs. (54 kg) at 5'4'' (1.63 m),"Toronto, Ontario (Canada)",20th February 1977 (age 45),??th December 2000,Gail Kim ,,,
2918,José Luis Florencio Ramos ,176 lbs. (80 kg) at 5'3'' (1.60 m),"Saltillo, Coahuila de Zaragoza (Mexico)",28th August 1980 (age 41),1997,Demus,,,
2898,unknown,161 lbs. (73 kg) at 5'2'' (1.57 m),"Guadalajara, Jalisco (Mexico)",8th August 1972 (age 49),,Último Dragoncito,,,
20927,Hiromu Takahashi,181 lbs. (82 kg) at 5'7'' (1.70 m),"Hachioji, Tokyo (Japan)",4th December 1989 (age 32),24th August 2010 (11 years ago),Hiromu Takahashi,,,
1067,Warren Nicholas Bockwinkel,240 lbs. (109 kg) at 5'10'' (1.78 m),"St. Louis, Missouri (United States of America)",6th December 1934,1954,Nick Bockwinkel,14th November 2015,,
12249,Windham Lawrence Rotunda,285 lbs. (129 kg) at 6'3'' (1.91 m),"Brooksville, Florida (United States of America)",23rd May 1987 (age 34),5th February 2009 (13 years ago),Windham Rotunda,,,
518,Joshua Lawrence Barnett,250 lbs. (113 kg) at 6'3'' (1.91 m),"Seattle, Washington (United States of America)",10th November 1977 (age 44),11th January 1997 (25 years ago),Josh Barnett,,,
