,Real Name,Weight and Height,Birthplace,Date of Birth,Debut,wrestler_name,Height,Date of Death,Weight
18392,Gavin Watkins,165 lbs. (75 kg) at 5'8'' (1.73 m),"Abertillery, Blaenau Gwent, Wales (United Kingdom)",13th April 1990 (age 31),2009,Flash Morgan Webster,,,
19155,Amanda Nunes,135 lbs. (61 kg) at 5'5'' (1.65 m),"Salvador, Bahia (Brazil)",30th May 1988 (age 33),8th March 2008 (14 years ago),Amanda Nunes ,,,
26544,Kendra Smith,,"Denver, Colorado (United States of America)",30th October ???,,Kendall Skye ,5'11'' (1.80 m),,
27974,Johnny Davis Jr.,175 lbs. (79 kg) at 5'10'' (1.78 m),"Providence, Rhode Island (United States of America)",5th December 1989 (age 32),11th December 2009 (12 years ago),JT Dunn,,,
31005,Deveon Everheart Aiken,183 lbs. (83 kg) at 5'9'' (1.75 m),"Dayton, Ohio (United States of America)",2nd November ???,2011,Wes Lee,,,
31800,Rebecca Lucas,114 lbs. (52 kg) at 5'8'' (1.73 m),"Portsmouth, Hampshire, England (United Kingdom)",2nd May 1992 (age 29),,Zoe Lucas ,,,
37043,Antony Rafiq Khan,,"Champaign, Illinois (United States of America)",10th October 1982 (age 39),,Tony Khan,,,
2141,José Roberto Islas García,163 lbs. (74 kg) at 5'5'' (1.65 m),"Tetitlán, Guerrero (Mexico)",9th June 1977 (age 44),??th July 1997,Billy el Malo,,,
184,Joseph Carmine Bonsignore,165 lbs. (75 kg) at 5'7'' (1.70 m),"Stamford, Connecticut (United States of America)",14th July 1971 (age 50),19th June 1993 (28 years ago),Joey Styles,,,
4,James D. Fullington,244 lbs. (111 kg) at 6'3'' (1.91 m),"Philadelphia, Pennsylvania (United States of America)",16th June 1963 (age 58),1989,The Sandman,,,
637,unknown,200 lbs. (91 kg) at 5'7'' (1.70 m),"Chicago, Illinois (United States of America)",23rd December 1981 (age 40),22nd September 2001 (20 years ago),Arik Cannon,,,
1823,Tomoaki Honma,225 lbs. (102 kg) at 5'11'' (1.80 m),"Yamagata, Yamagata (Japan)",18th November 1976 (age 45),18th May 1997 (24 years ago),Tomoaki Honma,,,
897,Juan Conrado Aguilar Jáuregui,209 lbs. (95 kg) at 5'7'' (1.70 m),"Mexicali, Baja California (Mexico)",26th November 1958,??th February 1972,El Texano,,15th January 2006,
1266,Henry Faggart,250 lbs. (113 kg) at 5'11'' (1.80 m),"Concord, North Carolina (United States of America)",26th June 1930,1952,Jackie Fargo,,24th June 2013,
