,Real Name,Weight and Height,Birthplace,Date of Birth,Debut,wrestler_name,Date of Death,Weight,Height
1212,Andrew Stevens,203 lbs. (92 kg) at 5'7'' (1.70 m),"Atlanta, Texas (United States of America)",18th June 1985 (age 36),31st January 2004 (18 years ago),Andy Dalton,,,
1243,unknown,212 lbs. (96 kg) at 6'1'' (1.85 m),"St. Paul, Minnesota (United States of America)",25th April 1982 (age 39),1st November 2003 (18 years ago),Ricky Landell,,,
1355,Toyonari Fujita,231 lbs. (105 kg) at 5'8'' (1.73 m),"Kishiwada, Osaka (Japan)",19th May 1971 (age 50),6th March 1993 (29 years ago),Magnitude Kishiwada,,,
1362,unknown,262 lbs. (119 kg) at 6'4'' (1.93 m),"San Francisco, California (United States of America)",6th April 1971 (age 50),25th January 1997 (25 years ago),Tony Jones,,,
1376,unknown,163 lbs. (74 kg) at 5'6'' (1.68 m),"Los Angeles, California (United States of America)",,1st May 1999 (22 years ago),JJ Pérez,,,
1635,unknown,187 lbs. (85 kg) at 5'10'' (1.78 m),"Vancouver, British Columbia (Canada)",4th December ???,21st May 1999 (22 years ago),Qenaan Creed,,,
1637,"
Arthur Thomas",271 lbs. (123 kg) at 6'4'' (1.93 m),"Gurdon, Arkansas (United States of America)",30th January 1924,1943,"""Sailor"" Art Thomas",20th March 2003,,
1730,Osamu Namiguchi,187 lbs. (85 kg) at 5'8'' (1.73 m),"Kitakyushu, Fukuoka (Japan)",30th August 1980 (age 41),7th November 2003 (18 years ago),Osamu Namiguchi,,,
1902,Victor Blood,235 lbs. (107 kg) at 6'0'' (1.83 m),Alaska (United States of America),,,Vic Steamboat,,,
2034,Kumiko Maekawa,148 lbs. (67 kg) at 5'5'' (1.65 m),"Sakura, Chiba (Japan)",7th November 1972 (age 49),4th October 1991 (30 years ago),Kumiko Maekawa ,,,
2047,Mika Nishio,145 lbs. (66 kg) at 5'6'' (1.68 m),"Mitaka, Tokyo (Japan)",12th December 1981 (age 40),30th September 2000 (21 years ago),Mika Nishio ,,,
2050,Nobuko Kimura,165 lbs. (75 kg) at 5'6'' (1.68 m),"Tokyo, Tokyo (Japan)",9th March 1967 (age 55),10th September 1986 (35 years ago),Bison Kimura ,,,
