,Real Name,Birthplace,Date of Birth,Debut,Date of Death,wrestler_name,Weight and Height,Weight,Height
3319,Winona Barkley,"Reynolds, Georgia (United States of America)",5th September 1955,1st July 1976 (45 years ago),9th May 2020,Winona Little Heart ,,,
3325,unknown,,13th November 1964 (age 57),,,Mike Samples,252 lbs. (114 kg) at 6'2'' (1.88 m),,
3407,Bryan Wenzel,"Butler, New Jersey (United States of America)",29th April 1980 (age 41),26th February 1999 (23 years ago),,Mr. Strongko,262 lbs. (119 kg) at 6'2'' (1.88 m),,
3842,Anthony Felker,"Dallas, Texas (United States of America)",1961,1980,,Tony Falk,240 lbs. (109 kg) at 6'1'' (1.85 m),,
4502,unknown,,,1983,1st January 2019,Jim Evans,,,
4779,unknown,"Vancouver, British Columbia (Canada)",,??th June 2002,,Freddy Funk,340 lbs. (154 kg) at 6'0'' (1.83 m),,
5130,unknown,,,,,Khris Germany,265 lbs. (120 kg) at 6'2'' (1.88 m),,
5569,unknown,,,,,SC Supreme,,,
5902,unknown,,,14th December 1979 (42 years ago),,Gary Royal,,,
6101,Leroy Anthony Howard,"St. Petersburg, Florida (United States of America)",1969,1990,,Leroy Howard,276 lbs. (125 kg) at 5'11'' (1.80 m),,
6679,unknown,California (United States of America),2nd January 1934,,17th June 1971,Alberto Torres,,,
7083,unknown,,,,,Jason Hades,,,
7098,Chris Taylor,,13th June 1950,8th December 1973 (48 years ago),30th June 1979,Chris Taylor,450 lbs. (204 kg) at 6'5'' (1.96 m),,
7722,unknown,"Dublin, Dublin (Ireland)",30th September 1988 (age 33),??th March 2005,,Sean South,210 lbs. (95 kg) at 6'1'' (1.85 m),,
9149,Omar Mazzi,"Vicenza, Veneto (Italy)",,1st April 2007 (14 years ago),,OGM,212 lbs. (96 kg) at 5'11'' (1.80 m),,
9822,Dan Evensen,"Arendal, Aust-Agder (Norway)",1st June 1974 (age 47),11th May 2002 (19 years ago),,Dan Evensen,250 lbs. (113 kg) at 6'3'' (1.91 m),,
9852,Johnny Rivera,Hormigueros (Puerto Rico),1949,1975,,Johnny Rivera,231 lbs. (105 kg) at 5'8'' (1.73 m),,
10262,Ryan James Jensen,"Omaha, Nebraska (United States of America)",20th September 1977 (age 44),22nd February 1997 (25 years ago),,Ryan Jensen,185 lbs. (84 kg) at 6'1'' (1.85 m),,
10920,William Nicholas White,"Philadelphia, Pennsylvania (United States of America)",27th February 1945,1964,7th September 2021,Bill White,250 lbs. (113 kg) at 6'1'' (1.85 m),,
12185,unknown,Kyoto (Japan),20th December 1988 (age 33),10th May 2008 (13 years ago),,Kazuaki Mihara,214 lbs. (97 kg) at 5'7'' (1.70 m),,
14371,Fa'apipi'i Lale Igafo Sa'ole,Samoa,4th February 1943,,29th March 2005,Farmer Boy Ipo,358 lbs. (162 kg) at 6'2'' (1.88 m),,
14407,unknown,"Christiansburg, Virginia (United States of America)",22nd March 1970 (age 51),9th September 1992 (29 years ago),,Frank Parker,265 lbs. (120 kg) at 6'3'' (1.91 m),,
15099,Rumina Sato,"Odawara, Kanagawa (Japan)",27th December 1973 (age 48),7th November 1994 (27 years ago),,Rumina Sato,145 lbs. (66 kg) at 5'6'' (1.68 m),,
15241,unknown,United Kingdom,,,,Brett Eagle,,,
16582,Mario Bokara,"New Milford, New Jersey (United States of America)",2nd December 1980 (age 41),??th August 2000,,Mo Sexton,220 lbs. (100 kg) at 5'11'' (1.80 m),,
16877,unknown,New York (United States of America),,,,Slugga,366 lbs. (166 kg) at 6'8'' (2.03 m),,
18278,Nicholas Brashear,"Cleveland, Ohio (United States of America)",2nd September 1981 (age 40),,,Nick Belushi,325 lbs. (147 kg) at 6'6'' (1.98 m),,
18618,TJ O'Brien,"Sacramento, California (United States of America)",1st January 1987 (age 35),20th April 2007 (14 years ago),,TJ O'Brien,155 lbs. (70 kg) at 6'2'' (1.88 m),,
19746,Jaime Jara,"North Highlands, California (United States of America)",8th February 1969 (age 53),8th September 2002 (19 years ago),,Jaime Jara,170 lbs. (77 kg) at 6'1'' (1.85 m),,
23967,unknown,"Liverpool, Merseyside, England (United Kingdom)",,,,James Grace,182 lbs. (83 kg) at 5'11'' (1.80 m),,
28720,David Luster,,7th December 1981 (age 40),2000,,Luster the Legend,246 lbs. (112 kg) at 6'5'' (1.96 m),,
31656,Mathias Behrens,"Halberstadt, Sachsen-Anhalt (Germany)",16th April ???,,,Matze,192 lbs. (87 kg) at 6'1'' (1.85 m),,
32294,unknown,"Meppen, Niedersachsen (Germany)",26th January 1996 (age 26),23rd June 2017 (4 years ago),,Abdul Kenan,254 lbs. (115 kg) at 5'7'' (1.70 m),,
35436,unknown,"Shimotsuke, Tochigi (Japan)",28th December 2006 (age 15),17th June 2017 (4 years ago),,Rina ,99 lbs. (45 kg) at 5'1'' (1.55 m),,
36651,Dartanyon Ruffin,"Detroit, Michigan (United States of America)",14th April 1996 (age 25),1st January 2017 (5 years ago),,Leon Ruff,150 lbs. (68 kg) at 5'7'' (1.70 m),,
221,Nelson Frazier Jr.,"Memphis, Tennessee (United States of America)",14th February 1971,1991,18th February 2014,Viscera,496 lbs. (225 kg) at 6'6'' (1.98 m),,
4111,Colin Matthew Delaney,"Rochester, New York (United States of America)",7th September 1986 (age 35),2003,,Colin Delaney,172 lbs. (78 kg) at 5'9'' (1.75 m),,
143,Ernest Clifford Miller,"Atlanta, Georgia (United States of America)",14th January 1964 (age 58),1997,,Ernest Miller,235 lbs. (107 kg) at 6'2'' (1.88 m),,
2361,Rafael García Sánchez,"Ciudad de México, Ciudad de México (Mexico)",22nd February 1971 (age 51),5th August 1990 (31 years ago),,Súper Caló,192 lbs. (87 kg) at 5'8'' (1.73 m),,
3665,José Decni Chabelas Amador,"Tetitlán, Guerrero (Mexico)",18th July 1978 (age 43),??th June 1999,,Decnis,179 lbs. (81 kg) at 5'8'' (1.73 m),,
2883,Milena Leticia Roucka,"Vancouver, British Columbia (Canada)",25th October 1979 (age 42),??th October 2006,,Rosa Mendes ,125 lbs. (57 kg) at 5'8'' (1.73 m),,
801,James Kirkharrell,"Roanoke, Virginia (United States of America)",13th December 1959 (age 62),??th May 1978,,Boris Zhukov,260 lbs. (118 kg) at 6'2'' (1.88 m),,
6256,unknown,Mexico,13th August 1986 (age 35),2006,,Argenis,,,
1319,Juan Carlos Baños,"Acapulco de Juárez, Guerrero (Mexico)",16th October 1972 (age 49),1st July 1991 (30 years ago),,Lizmark Jr.,262 lbs. (119 kg) at 6'1'' (1.85 m),,
2430,Juan González,"Heroica Puebla de Zaragoza, Puebla (Mexico)",22nd February 1967 (age 55),,,Psicosis,187 lbs. (85 kg) at 5'9'' (1.75 m),,
713,Luis Rabadan Jr.,"Ciudad de México, Ciudad de México (Mexico)",16th July 1966 (age 55),26th July 1985 (36 years ago),,Blue Demon Jr.,194 lbs. (88 kg) at 5'8'' (1.73 m),,
27729,Brandel Littlejohn,"Trenton, New Jersey (United States of America)",5th May 1987 (age 34),5th April 2012 (9 years ago),,The World Famous CB,136 lbs. (62 kg) at 5'8'' (1.73 m),,
1249,Josette Bynum,"Minneapolis, Minnesota (United States of America)",11th September 1977 (age 44),11th April 2002 (19 years ago),,Josette Bynum ,140 lbs. (64 kg) at 5'4'' (1.63 m),,
594,Cynthia Lynch,"North Arlington, New Jersey (United States of America)",18th May 1971 (age 50),??th December 1996,,Bobcat ,128 lbs. (58 kg) at 5'8'' (1.73 m),,
2188,Harry Del Rios,"New York City, New York (United States of America)",17th September 1961 (age 60),1992,,Phantasio,273 lbs. (124 kg) at 6'4'' (1.93 m),,
1749,Andrés Reyes González,"Santa Anita, Jalisco (Mexico)",18th April 1963,15th June 1985 (36 years ago),1st May 2018,Universo Dos Mil,216 lbs. (98 kg) at 6'0'' (1.83 m),,
947,William Brenneman,"Clearwater, Florida (United States of America)",21st November 1959 (age 62),1989,,Jerry Flynn,270 lbs. (122 kg) at 6'2'' (1.88 m),,
1161,Tom Brandi,"Philadelphia, Pennsylvania (United States of America)",9th July 1966 (age 55),14th September 1985 (36 years ago),,Tom Brandi,231 lbs. (105 kg) at 6'2'' (1.88 m),,
2723,Donald Haviland,"Baltimore, Maryland (United States of America)",7th December 1973,19th October 1990 (31 years ago),5th December 2015,Hack Meyers,225 lbs. (102 kg) at 6'2'' (1.88 m),,
890,Ignacio Gómez Ruíz,"Tulancingo de Bravo, Hidalgo (Mexico)",31st July 1932,1952,29th November 2008,El Nazi,205 lbs. (93 kg) at 5'9'' (1.75 m),,
611,Rhea Alessandra Calaveras,Saint Croix (United States Virgin Islands),23rd October 1972 (age 49),1999,,Jasmin St. Claire ,110 lbs. (50 kg) at 5'7'' (1.70 m),,
9334,unknown,"Middleborough, Massachusetts (United States of America)",,,,Rick Fuller,325 lbs. (147 kg) at 6'3'' (1.91 m),,
12085,Wesley Brisco,"Tampa, Florida (United States of America)",21st February 1983 (age 39),2009,,Wes Brisco,210 lbs. (95 kg) at 5'10'' (1.78 m),,
9836,unknown,"Kingston upon Hull, East Yorkshire, England (United Kingdom)",9th October 1990 (age 31),26th August 2006 (15 years ago),,Nathan Cruz,186 lbs. (84 kg) at 5'10'' (1.78 m),,
1504,Perry Jackson,"Texarkana, Arkansas (United States of America)",,,,Action Jackson,287 lbs. (130 kg) at 6'3'' (1.91 m),,
4165,Patrick Frary,"Norwich, Norfolk, England (United Kingdom)",14th December 1953 (age 68),1985,,Ricky Knight,247 lbs. (112 kg) at 5'9'' (1.75 m),,
7688,Brandon Castillo,Mexico,11th October 1979 (age 42),2004,,Yuriko,,,
431,Orlando Jordan,"Salem, New Jersey (United States of America)",21st April 1974 (age 47),2000,,Orlando Jordan,256 lbs. (116 kg) at 6'4'' (1.93 m),,
