,Real Name,Weight and Height,Birthplace,Date of Birth,Debut,wrestler_name,Date of Death,Height
6990,Kazuchika Okada,240 lbs. (109 kg) at 6'3'' (1.91 m),"Anjo, Aichi (Japan)",8th November 1987 (age 34),29th August 2004 (17 years ago),Kazuchika Okada,,
216,Curtis Michael Hennig,260 lbs. (118 kg) at 6'3'' (1.91 m),"Robbinsdale, Minnesota (United States of America)",28th March 1958,30th January 1981 (41 years ago),Curt Hennig,10th February 2003,
458,Keiichi Yamada,208 lbs. (94 kg) at 5'6'' (1.68 m),"Hiroshima, Hiroshima (Japan)",30th November 1964 (age 57),3rd March 1984 (37 years ago),Jushin Thunder Liger,,
766,Satoru Sayama,212 lbs. (96 kg) at 5'8'' (1.73 m),"Shimonoseki, Yamaguchi (Japan)",24th November 1957 (age 64),28th May 1976 (45 years ago),First Tiger Mask,,
64,Eduardo Gori Guerrero Llanes,220 lbs. (100 kg) at 5'8'' (1.73 m),"El Paso, Texas (United States of America)",9th October 1967,18th September 1987 (34 years ago),Eddie Guerrero,13th November 2005,
753,Kenta Kobashi,254 lbs. (115 kg) at 6'1'' (1.85 m),"Fukuchiyama, Kyoto (Japan)",27th March 1967 (age 54),16th December 1987 (34 years ago),Kenta Kobashi,,
516,Hiroshi Tanahashi,227 lbs. (103 kg) at 5'9'' (1.75 m),"Ogaki, Gifu (Japan)",13th November 1976 (age 45),10th October 1999 (22 years ago),Hiroshi Tanahashi,,
2000,Christopher Keith Irvine,227 lbs. (103 kg) at 6'0'' (1.83 m),"Manhasset, New York (United States of America)",9th November 1970 (age 51),2nd October 1990 (31 years ago),Chris Jericho,,
50,Michael Shawn Hickenbottom,215 lbs. (98 kg) at 6'0'' (1.83 m),"Chandler, Arizona (United States of America)",22nd July 1965 (age 56),8th October 1984 (37 years ago),Shawn Michaels,,
714,Genaro Vázquez Nevarez,194 lbs. (88 kg) at 5'7'' (1.70 m),"Gómez Palacio, Durango (Mexico)",18th September 1960 (age 61),8th October 1978 (43 years ago),Blue Panther,,
991,Naomichi Marufuji,185 lbs. (84 kg) at 5'9'' (1.75 m),"Saitama, Saitama (Japan)",26th September 1979 (age 42),28th August 1998 (23 years ago),Naomichi Marufuji,,
1728,Kota Ibushi,189 lbs. (86 kg) at 5'11'' (1.80 m),"Aira, Kagoshima (Japan)",21st May 1982 (age 39),1st July 2004 (17 years ago),Kota Ibushi,,
