,Real Name,Weight and Height,Birthplace,Date of Birth,Debut,wrestler_name,Date of Death,Height,Weight
8,unknown,235 lbs. (107 kg) at 6'0'' (1.83 m),"Cleveland, Ohio (United States of America)",28th December ???,??th August 1998,J-Rocc,,,
257,unknown,260 lbs. (118 kg) at 6'0'' (1.83 m),New York (United States of America),,1995,Danny Rose,,,
259,Thomas W. Neiss,220 lbs. (100 kg) at 5'11'' (1.80 m),"Philadelphia, Pennsylvania (United States of America)",,,Eddie Valentine,,,
261,unknown,,"Smyrna, Delaware (United States of America)",1973,,Jeff Rocker,,,
264,unknown,175 lbs. (79 kg) at 5'10'' (1.78 m),"Sewell, New Jersey (United States of America)",,1998,Dewey Donovan,,,
300,Harald Khozina,300 lbs. (136 kg) at 6'3'' (1.91 m),"Wien, Wien (Austria)",5th October 1960 (age 61),1982,Dirty Harry,,,
357,Alfonso Amezcua,,"Guadalajara, Jalisco (Mexico)",22nd August 1918,1937,Al Amezcua,4th November 1999,,
358,José Ángel Vargas Sánchez,192 lbs. (87 kg) at 5'9'' (1.75 m),"Atoyac, Jalisco (Mexico)",2nd August 1936,1958,Ángel Blanco,26th April 1986,,
359,Carlos Ignacio Carrillo Contreras,178 lbs. (81 kg) at 5'10'' (1.78 m),"Topilejo, Michoacán de Ocampo (Mexico)",5th November 1940,??th November 1963,Aníbal,9th March 1994,,
360,Arias Romero,218 lbs. (99 kg) at 5'7'' (1.70 m),"Santiago de Querétaro, Querétaro Arteaga (Mexico)",20th December 1951,??th October 1967,Ari Romero,29th December 2013,,
361,Alejandro Cruz Ortíz,,"León de los Aldama, Guanajuato (Mexico)",3rd May 1921,21st June 1942 (79 years ago),Black Shadow,8th March 2007,,
364,Rodolfo Evaristo Ludovico Galindo Ramírez,176 lbs. (80 kg) at 5'10'' (1.78 m),"Chihuahua, Chihuahua (Mexico)",27th September 1923,1938,Cavernario Galindo,19th July 1999,,
365,Francisco Aguayo Escobosa,,"Torreón, Coahuila de Zaragoza (Mexico)",24th October 1895,,Francisco Aguayo,22nd September 1963,,
366,Fausto Humberto Veloz Barrueto ,,"Monterrey, Nuevo León (Mexico)",25th March 1938,1959,Ciclón Veloz Jr.,30th August 2001,,
367,Eduardo Hernández Calderón,,"Huichapán, Hidalgo (Mexico)",22nd May 1908,23rd September 1933 (88 years ago),Dientes Hernández,28th May 1988,,
370,Luis Ramírez Romero,,Mexico,,1954,El Gladiador,3rd December 1965,,
372,Luis Alberto Medina Delgadillo,,"Monterrey, Nuevo León (Mexico)",??th September 1968,26th March 1986 (35 years ago),El Sanguinario,8th September 2002,,
375,Antonio Hernández Fernández,,"Ciudad de México, Ciudad de México (Mexico)",9th February 1939,1951,Espectro #1,13th October 1993,,
377,Gonzalo Flores García,,"Monterrey, Nuevo León (Mexico)",22nd April 1924,1952,Gorilita Flores,24th July 2001,,
379,"Juan ""Johnny"" Chavarría Galicia",276 lbs. (125 kg) at 6'3'' (1.91 m),"Torreón, Coahuila de Zaragoza (Mexico)",27th December 1938,,Gran Markus,15th November 2007,,
381,Daniel García Arteaga,203 lbs. (92 kg) at 5'7'' (1.70 m),"Ciudad de México, Ciudad de México (Mexico)",9th April 1926,,Huracán Ramírez,1st November 2006,,
382,Jaime Álvarez Mendoza,207 lbs. (94 kg) at 5'9'' (1.75 m),"Guadalajara, Jalisco (Mexico)",29th October 1948 (age 73),??th September 1972,Jaque Mate,,,
383,Pedro Javier Cervantes Santacruz,165 lbs. (75 kg) at 5'8'' (1.73 m),"Guadalajara, Jalisco (Mexico)",5th December 1958 (age 63),2nd September 1980 (41 years ago),Javier Cruz,,,
384,Javier Augusto Yañez Corona,,"Ciudad de México, Ciudad de México (Mexico)",6th September 1952 (age 69),28th August 1973 (48 years ago),Javier Llanes,,,
385,José Francisco Marquina Márquez,,,1936,1954,Joe Marquina,9th November 2020,,
386,Carlos de Lucio Lagarde,,"Zapotlán de Juárez, Hidalgo (Mexico)",27th July 1928,1950,Karloff Lagarde,31st August 2007,,
387,Raymundo Cuesta Veloz,,Baja California (Mexico),20th January 1951,1968,Kung Fu,3rd January 2001,,
388,José Eusebio Vázquez Bernal,,"Torreón, Coahuila de Zaragoza (Mexico)",1933,,Espanto #1,30th May 1968,,
389,Fernando Cisneros Carrillo,,"Torreón, Coahuila de Zaragoza (Mexico)",25th August 1932,1952,Espanto #2,27th August 2010,,
390,"Miguel ""Miguelito"" Vázquez Bernal",,"Torreón, Coahuila de Zaragoza (Mexico)",11th February 1940,13th January 1962 (60 years ago),Espanto #3,8th December 1996,,
391,Pablito Fuentes Reyna,233 lbs. (106 kg) at 5'11'' (1.80 m),"Salvatierra, Guanajuato (Mexico)",31st December 1956,12th July 1978 (43 years ago),MS-1,12th January 2012,,
392,Jesús Velázquez Quintero,,"Dolores Hidalgo, Guanajuato (Mexico)",30th October 1909,3rd April 1938 (83 years ago),Murciélago Velázquez,26th May 1972,,
393,Jesús Javier Hernández Solís,,"Guadalajara, Jalisco (Mexico)",24th December 1971,23rd November 1990 (31 years ago),Oro,26th October 1993,,
396,Juan Manuel Guajardo Mejorado,210 lbs. (95 kg) at 5'9'' (1.75 m),"Villa Mainero, Tamaulipas (Mexico)",4th January 1933,1954,René Guajardo,11th May 1992,,
397,Rito Romero Loza,,"Acatic, Jalisco (Mexico)",19th March 1927,,Rito Romero,17th January 2001,,
399,Rolando Hernández Verástegui,,"Monterrey, Nuevo León (Mexico)",1st February 1915,,Rolando Vera,29th March 2001,,
401,Francisco Javier Mar Hernández,176 lbs. (80 kg) at 5'8'' (1.73 m),"León de los Aldama, Guanajuato (Mexico)",4th December 1926,1943,Sugi Sito,4th May 2000,,
402,José Francisco Arreola Ramírez,270 lbs. (122 kg) at 5'9'' (1.75 m),"Ciudad de México, Ciudad de México (Mexico)",27th May 1950,1968,Tamba,6th September 2001,,
403,Carlos López Tovar,185 lbs. (84 kg) at 5'8'' (1.73 m),"Jerez de García Salinas, Zacatecas (Mexico)",28th August 1912,12th April 1934 (87 years ago),Tarzán López,28th August 1975,,
405,José Alfredo Díaz Mendoza,182 lbs. (83 kg) at 5'10'' (1.78 m),"Ciudad de México, Ciudad de México (Mexico)",25th September 1949,1969,Villano II,17th April 1989,,
495,unknown,,,,,Half Nelson Keyes,,,
496,unknown,,,,,Erich Ecker,,,
526,Masayuki Naruse,210 lbs. (95 kg) at 5'7'' (1.70 m),"Tokyo, Tokyo (Japan)",15th March 1973 (age 48),16th May 1992 (29 years ago),Masayuki Naruse,,,
