,Real Name,Birthplace,Date of Birth,Date of Death,wrestler_name,Debut,Weight,Weight and Height,Height
6970,Richard W. Bolton,"Chatham, Ontario (Canada)",17th January 1951,25th December 2000,Rick Bolton,,,,
6971,Alejandro Campos,Mexico,19th July 1980 (age 41),,Casanova Boy,26th March 2005 (16 years ago),,,
6974,Johnny Vanelli Guzmán,Mexico,,,Black Power,,,,
6975,unknown,Nuevo León (Mexico),4th November 1981 (age 40),,El Veneno Extremo,??th November 1998,187 lbs. (85 kg),,
6976,unknown,"Windsor, Ontario (Canada)",,,Trent Powers,,,196 lbs. (89 kg) at 6'1'' (1.85 m),
6977,Pablo de León Chafino,Mexico,28th October 1979 (age 42),,Rico Rodríguez,27th July 1998 (23 years ago),,,5'10'' (1.78 m)
6979,unknown,"Santiago, Nuevo León (Mexico)",3rd August 1951 (age 70),,Relámpago Ramírez,15th July 1971 (50 years ago),,,5'5'' (1.65 m)
6981,Ronald Donnan,,,,Red Donovan,,,,
6982,unknown,,,,Larry Oliver,,,,
6983,James Wallace Mobley,"Borger, Texas (United States of America)",20th November 1906,1982,Rex Mobley,,,192 lbs. (87 kg) at 6'0'' (1.83 m),
6984,unknown,,,,Ray Piret,,,,
6985,Frank Wayne Hester,"Columbus, Ohio (United States of America)",16th August 1936,27th July 1976,Frank Hester,,,,
6986,George Hardison,Georgia (United States of America),8th July 1906,??th September 1964,Seelie Samara,,,,
6987,Toyoki Uyeda,,,11th December 1960,Tor Yamato,,,,
6988,Yuichi Deguchi,"Takarazuka, Hyogo (Japan)",12th October 1932,26th June 1995,Mr. Chin,1955,,183 lbs. (83 kg) at 5'6'' (1.68 m),
6989,Pasquale Tripepi,"Wildomar, California (United States of America)",,,Pepi Pasquale,,,,
6991,Kokichi Endo,Yamagata (Japan),4th March 1926 (age 96),,Kokichi Endo,??th November 1951,,254 lbs. (115 kg) at 5'11'' (1.80 m),
6992,Kelly Kiniski,"Calgary, Alberta (Canada)",27th May 1960 (age 61),,Kelly Kiniski,1st August 1980 (41 years ago),,265 lbs. (120 kg) at 6'3'' (1.91 m),
6993,Katsuyoshi Suzuki,Kanagawa (Japan),25th January 1938 (age 84),,Matti Suzuki,1961,,225 lbs. (102 kg) at 5'10'' (1.78 m),
6994,unknown,"Guadalajara, Jalisco (Mexico)",26th January 1947,20th December 2018,Raúl Mata,,,,
6996,Curtis Dudit,,,,Coconut Willie,,,,
6997,unknown,,,,Mike Popovich,21st August 1980 (41 years ago),,,
6998,William Faynik,"Joliet, Illinois (United States of America)",28th September 1930,12th April 2008,Bill Savage,,,,
7001,unknown,"Portland, Oregon (United States of America)",,,Scott Ferris,,,,
7004,unknown,,,,Steve Pardee,,,,
7005,Ron Rolsinski,"Winnipeg, Manitoba (Canada)",,,Ron Ritchie,,,235 lbs. (107 kg) at 5'10'' (1.78 m),
7006,unknown,"San Andreas, California (United States of America)",,,Anton Arakis,,,176 lbs. (80 kg) at 5'9'' (1.75 m),
7007,David Sherwin,"Cobourg, Ontario (Canada)",5th August 1950,20th July 2012,Goldie Rogers,,,200 lbs. (91 kg) at 5'10'' (1.78 m),
7008,Paul S. Koziar,"St. Catharines, Ontario (Canada)",15th July 1971 (age 50),,Flesh Gordon,??th November 1999,,220 lbs. (100 kg) at 5'10'' (1.78 m),
7009,unknown,,,,Johnny Darkness,,,221 lbs. (100 kg) at 6'1'' (1.85 m),
7011,unknown,,,,Mr. Black,,,264 lbs. (120 kg) at 6'2'' (1.88 m),
7012,unknown,,,,Pierre Shadows,,,235 lbs. (107 kg) at 5'10'' (1.78 m),
7013,unknown,Canada,,,Vane,,,239 lbs. (108 kg) at 5'11'' (1.80 m),
7015,unknown,"Tijuana, Baja California (Mexico)",,,El Vigote Dos,,,210 lbs. (95 kg) at 6'2'' (1.88 m),
7016,unknown,"Vaughan, Ontario (Canada)",,,Vlad the Penetrator,,,299 lbs. (136 kg) at 5'8'' (1.73 m),
7017,unknown,"Woodstock, New York (United States of America)",20th September 1984 (age 37),,Alex Brady,,,215 lbs. (98 kg) at 5'11'' (1.80 m),
7018,unknown,"DeLand, Florida (United States of America)",,,Billy Malic,,150 lbs. (68 kg),,
7019,unknown,"Miami, Florida (United States of America)",,,Cassidy O'Brien,,,210 lbs. (95 kg) at 6'0'' (1.83 m),
7020,unknown,Nevada (United States of America),,,Chip,,,195 lbs. (88 kg) at 6'1'' (1.85 m),
7021,unknown,"Austin, Texas (United States of America)",18th July 1977 (age 44),,Dallas Murdock,,,210 lbs. (95 kg) at 6'1'' (1.85 m),
7022,unknown,"Salt Lake City, Utah (United States of America)",,,Junior X,,,175 lbs. (79 kg) at 5'8'' (1.73 m),
7024,unknown,"Salt Lake City, Utah (United States of America)",17th May 1983 (age 38),,Paco,,,168 lbs. (76 kg) at 5'8'' (1.73 m),
7025,unknown,"Los Angeles, California (United States of America)",,,Spencer Cage,,,265 lbs. (120 kg) at 6'6'' (1.98 m),
7026,Christopher B. Levendusky Johnson,"Ann Arbor, Michigan (United States of America)",,,Brick Alexander,,,253 lbs. (115 kg) at 6'2'' (1.88 m),
7028,Chris Burdick,"Coloma, Michigan (United States of America)",,,Caden Ames,2005,,156 lbs. (71 kg) at 5'11'' (1.80 m),
7029,unknown,"Chicago, Illinois (United States of America)",,,Bryce Benjamin,,,,5'9'' (1.75 m)
