,Real Name,Birthplace,Date of Birth,wrestler_name,Weight and Height,Debut,Height,Date of Death,Weight
16137,unknown,"Dallas, Texas (United States of America)",1988,Tex Monroe,,,,,
16138,unknown,United States of America,,Dick Shannon,,,,,
16139,Jeremy Elliott,Ontario (Canada),,Nick Vickers,,,,,
16140,Happy Kreter,,,Strife,199 lbs. (90 kg) at 6'2'' (1.88 m),1997,,,
16141,unknown,"Sayreville, New Jersey (United States of America)",5th May 1988 (age 33),Nicky Oceans,,2003,5'10'' (1.78 m),,
16142,unknown,"Keansburg, New Jersey (United States of America)",??th July 1988,Corey Havoc,,14th July 2006 (15 years ago),6'1'' (1.85 m),,
16143,unknown,New Jersey (United States of America),6th January ???,Kraig Stagg,255 lbs. (116 kg) at 6'0'' (1.83 m),??th September 2008,,,
16144,unknown,"Halifax, Nova Scotia (Canada)",,Alex Gallagher,,,6'4'' (1.93 m),,
16145,unknown,"Calgary, Alberta (Canada)",17th March 1987 (age 35),Shaggy Ray Cyrus,,,,,
16146,unknown,Canada,19th January 1985 (age 37),Alexander Hale,,,,,
16147,unknown,Alberta (Canada),1979,Teddy Valiant,340 lbs. (154 kg) at 6'4'' (1.93 m),23rd June 2006 (15 years ago),,,
16149,unknown,,,Swede Hanson,,,,,
16151,Gloria Dolores Souza,"Laurel, Maryland (United States of America)",26th December 1929,Gloria Barattini ,,,5'6'' (1.68 m),27th January 2014,
16153,Rod Vista,"Las Vegas, Nevada (United States of America)",,Rod Zapata,156 lbs. (71 kg) at 5'6'' (1.68 m),,,,
16155,unknown,"Edmonton, Alberta (Canada)",,Punishment,,11th February 2006 (16 years ago),6'0'' (1.83 m),,
16156,unknown,"Edmonton, Alberta (Canada)",,Slammer,225 lbs. (102 kg) at 5'8'' (1.73 m),,,,
16157,Justin Sczembora,"Edmonton, Alberta (Canada)",,Heavy Metal,213 lbs. (97 kg) at 6'0'' (1.83 m),11th April 2004 (17 years ago),,,
16158,unknown,"Edmonton, Alberta (Canada)",,Eclipse,205 lbs. (93 kg) at 5'10'' (1.78 m),,,,
16159,Cameron Toms,"Medicine Hat, Alberta (Canada)",29th May 1986 (age 35),Camikazee,200 lbs. (91 kg) at 5'11'' (1.80 m),2004,,,
16160,unknown,"Red Deer, Alberta (Canada)",,Dylon Stone,210 lbs. (95 kg) at 5'9'' (1.75 m),,,,
16161,unknown,"North Sydney, Nova Scotia (Canada)",,Purity Saint ,130 lbs. (59 kg) at 5'4'' (1.63 m),,,,
16162,unknown,"Las Vegas, Nevada (United States of America)",,Chris Perish,171 lbs. (78 kg) at 5'5'' (1.65 m),,,,
16163,unknown,Alberta (Canada),,Alistar Dark,,,6'2'' (1.88 m),,
16164,unknown,Veracruz de Ignacio de la Llave (Mexico),,Sombra Guerrera,,,,,
16165,unknown,Veracruz de Ignacio de la Llave (Mexico),,El Hijo del Buitre,,,,,
16166,unknown,Veracruz de Ignacio de la Llave (Mexico),,Buitre,,,,,
16167,unknown,Veracruz de Ignacio de la Llave (Mexico),,El Hijo del Cirujano,,,,,
16168,unknown,Veracruz de Ignacio de la Llave (Mexico),,Skarlett,,,,,
16169,unknown,Veracruz de Ignacio de la Llave (Mexico),16th July 1988 (age 33),Shun Ly ,132 lbs. (60 kg) at 5'8'' (1.73 m),11th March 2007 (15 years ago),,,
16171,unknown,"Red Deer, Alberta (Canada)",1975,Steven Hawkes,,1994,,,
16173,Paul Swanger,"Scranton, Pennsylvania (United States of America)",30th June 1952 (age 69),Concrete Cowboy,300 lbs. (136 kg) at 6'8'' (2.03 m),,,,
16174,unknown,,,Mary Neiter ,,,,,
16175,unknown,,,Ida Foster,,,,,
16176,unknown,Greece,28th March 1894,Gus Lessis,,,,2nd May 1932,
16177,Scott Grimez,Massachusetts (United States of America),20th February ???,Giant Pharaoh,300 lbs. (136 kg) at 6'11'' (2.11 m),2005,,,
16178,unknown,,15th July 1982 (age 39),Eric Tuttle,,4th February 1999 (23 years ago),,,
16179,Christopher Michael Davis,,13th July 1979 (age 42),Hurricane Kid,155 lbs. (70 kg) at 5'10'' (1.78 m),1999,,,
16180,Steve Hershkowitz,,,Steve the Teacher,210 lbs. (95 kg) at 5'10'' (1.78 m),16th February 2002 (20 years ago),,,
16181,Erik Shae,,27th January 1982 (age 40),Crazy Shae,185 lbs. (84 kg) at 5'10'' (1.78 m),15th March 2002 (20 years ago),,,
16182,Joseph Gartenfeld,Hungary,31st May 1889,Joe Gardenfield,,,,27th June 1973,
16183,??? Majewski,Germany,,Johnny Meyers,,,,3rd March 1966,
16185,Samuel H. Vangler,Mongolia,16th May 1906,Sammy Vangler,,,,13th February 1971,
16186,Douglas Dorsey Scoggins,,19th March 1942,Doug Scoggins,,,,14th August 1972,
16187,Brian J. Brewer,"Columbia, Louisiana (United States of America)",30th September 1971,Bryan Hart,290 lbs. (132 kg) at 6'0'' (1.83 m),1996,,9th February 2010,
16188,Jay R. Palmer,United States of America,16th July 1971 (age 50),Jay R. Palmer,145 lbs. (66 kg) at 5'9'' (1.75 m),27th February 1996 (26 years ago),,,
16189,Ronald Jhun,"Honolulu, Hawaii (United States of America)",,Ronald Jhun,170 lbs. (77 kg) at 5'11'' (1.80 m),4th August 1998 (23 years ago),,,
16190,Armando Patiño Duran,"Acapulco de Juárez, Guerrero (Mexico)",,Vértigo,,1987,,,
16191,unknown,Nuevo León (Mexico),,Black Metal,,2nd June 2002 (19 years ago),,,
16192,unknown,Mexico,,Águila Dorada,,,,,
16194,Yoshihiro Tomioka,"Toyama, Toyama (Japan)",24th June 1979 (age 42),Yoshihiro Tomioka,155 lbs. (70 kg) at 5'7'' (1.70 m),7th September 2003 (18 years ago),,,
16196,Ken Hamamura,"Kyoto, Kyoto (Japan)",25th May 1983 (age 38),Ken Hamamura,170 lbs. (77 kg) at 5'10'' (1.78 m),13th July 2003 (18 years ago),,,
16197,Miku Matsumoto,"Toyama, Toyama (Japan)",26th June 1981 (age 40),Miku Matsumoto ,115 lbs. (52 kg) at 5'3'' (1.60 m),4th September 2004 (17 years ago),,,
16198,Yasuhito Namekawa,"Ibaraki, Ibaraki (Japan)",27th October 1974 (age 47),Yasuhito Namekawa,185 lbs. (84 kg) at 5'11'' (1.80 m),27th June 1998 (23 years ago),,,
16200,Dick Raniewicz,,,Dick Reynolds,,,,,
16201,unknown,,,Nacho Berrera,,,,,
16203,Theodore John Germaine,Talsi (Latvia),30th November 1905,Ted Germaine,175 lbs. (79 kg) at 5'9'' (1.75 m),,,16th February 1981,
16204,unknown,,,Salvatore Chevalier,,,,,
16205,Hidehiko Hasegawa,Japan,13th July 1978 (age 43),Hidehiko Hasegawa,170 lbs. (77 kg) at 5'9'' (1.75 m),13th October 2002 (19 years ago),,,
16207,unknown,,26th May 1964 (age 57),Brad Kohler,220 lbs. (100 kg) at 5'9'' (1.75 m),,,,
16210,Terry Ring,"Irwin, Pennsylvania (United States of America)",1991,Terry Ring,,14th August 2009 (12 years ago),5'10'' (1.78 m),,
16211,Tammy Messier,Canada,,Badd Dolly,,??th April 2002,,,
16212,unknown,Canada,,Cliff McDonald,,,,,
16213,unknown,Nova Scotia (Canada),,Col. Cypress,,27th October 2000 (21 years ago),,,
16215,unknown,Canada,,Fabian Stokes,,,,,
16216,unknown,Canada,,Hardware,225 lbs. (102 kg) at 6'4'' (1.93 m),,,,
16217,Ty Tyson,"Laurinburg, North Carolina (United States of America)",1991,Ty Tyson,235 lbs. (107 kg) at 5'11'' (1.80 m),2008,,,
16218,unknown,Nova Scotia (Canada),,Jason Holiday,205 lbs. (93 kg) at 5'10'' (1.78 m),14th December 2004 (17 years ago),,,
16219,unknown,"Moncton, New Brunswick (Canada)",,Julien Young,192 lbs. (87 kg) at 5'10'' (1.78 m),2005,,,
16220,unknown,"Tampa, Florida (United States of America)",11th April 1984 (age 37),Xsiris,194 lbs. (88 kg) at 6'2'' (1.88 m),2001,,,
16221,unknown,"Edmonton, Alberta (Canada)",9th January 1968 (age 54),Mad Man Williams,249 lbs. (113 kg) at 6'1'' (1.85 m),,,,
16222,unknown,Canada,,Morgan Storm,160 lbs. (73 kg) at 5'8'' (1.73 m),,,,
16223,unknown,"Halifax, Nova Scotia (Canada)",,Sidewinder,180 lbs. (82 kg) at 5'10'' (1.78 m),2005,,,
16224,unknown,New Brunswick (Canada),,Titus,230 lbs. (104 kg) at 6'4'' (1.93 m),2005,,,
16225,unknown,"Halifax, Nova Scotia (Canada)",,Tommy Osbourne,215 lbs. (98 kg) at 6'0'' (1.83 m),2006,,,
16226,Tony Verde,"Halifax, Nova Scotia (Canada)",20th September 1982 (age 39),Tony Armstrong,339 lbs. (154 kg) at 6'1'' (1.85 m),23rd April 2002 (19 years ago),,,
16228,unknown,,,Chic Linton,,,,??th January 2010,
16229,Ihakara Te Tuku Rapana,"Wairoa, Hawke's Bay (New Zealand)",8th November 1886,Ike Robin,,,,21st June 1968,
16230,John Ruddock,,25th July ???,Jock Ruddock,200 lbs. (91 kg) at 5'10'' (1.78 m),??th November 1965,,6th November 2011,
16232,unknown,"København, Hovedstaden (Denmark)",15th March 1929,Stefan Milla,,,,2008,
16233,unknown,,,Bobo Matu,,,,,
16234,Frank Manterfield,,,Frank Manto,,,,,
16235,Herbert Arthur Manterfield,,1897,Bert Mansfield,,,,1992,
16236,unknown,,,Clem Lawrence,,,,,
16237,unknown,,,Ron Jackson,,,,,
16238,unknown,,,Bob McDonald,,,,27th July 1964,
16239,unknown,,,Jackie Harris,,,,1968,
16240,unknown,,,Glen Harris,,,,,
16241,unknown,,31st January 1918,Arthur Fisher,,1948,,XXXX,
16242,Dyer Henderson,Dominica,2nd May 1935,Paul Duval,,,,6th September 2013,
16243,Jørgen Nelson,"Larvik, Vestfold (Norway)",29th August 1890,George Nelson,,,,7th August 1970,
16246,unknown,,,Vinny Vachetti,,,,,
16247,Janis Linaus,Latvia,21st November 1888,Ivan Linow,,,,21st November 1940,
16249,David St. Onge,,,Bobby Lee,,,,,
16250,unknown,"Berlin, Berlin (Germany)",,Eddie the Raptor,187 lbs. (85 kg) at 5'9'' (1.75 m),,,,
16251,Gonzalo Solís,Mexico,3rd July 1918,Gonzalo Solís,,,,12th September 2008,
16252,Juan Diego Arjona Solís,"Mérida, Yucatán (Mexico)",,Juan Diego Arjona Solís,,,,,
16253,unknown,,,El Exorcista,,,,XXXX,
16254,unknown,Mexico,20th July 1988 (age 33),Mr. Iguana,167 lbs. (76 kg) at 5'10'' (1.78 m),24th July 2009 (12 years ago),,,
16256,Jamie Sims,"Piedras Negras, Coahuila de Zaragoza (Mexico)",15th May ???,Doberman,200 lbs. (91 kg) at 5'3'' (1.60 m),23rd December 1988 (33 years ago),,28th June 2015,
16258,unknown,"Yokohama, Kanagawa (Japan)",1st January 1987 (age 35),Kenji Takeshima,176 lbs. (80 kg) at 5'8'' (1.73 m),6th December 2009 (12 years ago),,,
16259,unknown,"Tijuana, Baja California (Mexico)",12th December ???,Venom,203 lbs. (92 kg) at 6'0'' (1.83 m),??th November 2004,,,
16261,Leopoldo Polo Juárez,,,Polo Juárez,,,,,
16262,unknown,,,John Schmidt,,,,,
16263,unknown,,,Eddie Humphries,,,,,
16264,Naoyuki Taira,"Sendai, Miyagi (Japan)",15th December 1963 (age 58),Naoyuki Taira,176 lbs. (80 kg) at 5'9'' (1.75 m),,,,
16265,unknown,Mexico,1988,Bryan el Stripper,,,,,
16266,unknown,Spain,,Euro Dance,143 lbs. (65 kg) at 5'9'' (1.75 m),1st July 2004 (17 years ago),,,
16268,unknown,"Matamoros, Tamaulipas (Mexico)",,Rey Universal,,,,13th February 2010,
16269,Makoto Oe,"Tokyo, Tokyo (Japan)",17th February 1970 (age 52),Makoto Oe,,,,,
16271,unknown,Mexico,17th November 1984,Pablo Romero,,,,28th February 2022,
16272,unknown,Mexico,,Johnny Mack,,,,,
16273,unknown,Mexico,,Pancho Cachondo,,,,,
16274,Luigi Acocella,,,Lou Britton,,,,XXXX,
16275,unknown,Japan,,Kaicho Ram ,,6th March 2005 (17 years ago),,,
16276,unknown,Japan,,Kojiki,,11th February 2009 (13 years ago),,,
16277,Keith Iverson,"Waterman, Illinois (United States of America)",26th September 1939,Keith Iverson,,,,18th February 2013,
16278,unknown,,,Ken Lorimer,,,,,
16280,unknown,"Edmonton, Alberta (Canada)",16th August 1989 (age 32),Justin Sane,,,,,
16281,Max Flaskamp,"Krefeld, Nordrhein-Westfalen (Germany)",19th September 1879,Charles Olson,170 lbs. (77 kg) at 6'1'' (1.85 m),,,12th April 1945,
16282,unknown,,,Charles Reinecke,,,,,
16283,unknown,,,Antoine Gonthier,,,,,
16284,unknown,,,Mike Mihalko,,,,,
16285,unknown,"Winnipeg, Manitoba (Canada)",18th July 1903,Jimmy Trifunov,,,,27th June 1993,
16286,unknown,,,Jimmy James,226 lbs. (103 kg) at 5'10'' (1.78 m),,,,
16287,Takayo Hashi,"Tokyo, Tokyo (Japan)",2nd October 1977 (age 44),Takayo Hashi ,135 lbs. (61 kg) at 5'4'' (1.63 m),4th September 2004 (17 years ago),,,
16289,Raul Castillo,"Half Moon Bay, California (United States of America)",,Raul Castillo,185 lbs. (84 kg) at 5'11'' (1.80 m),13th May 2006 (15 years ago),,,
16290,Vincent Kasaboski,"Renfrew, Ontario (Canada)",2nd April 1912,Vincent Kasaboski,,,,20th June 1989,
16291,Clara Jean Scruggs,,1923,Gypsy Tanya,,,,7th September 2002,
16292,Terrence D. Manton,"Syracuse, New York (United States of America)",7th October 1947,Terry Manton,,,,9th June 2002,
16293,Jay Norman Caldwell,"Washington, District of Columbia (United States of America)",,Jay Caldwell,,,,28th September 2002,
16294,unknown,"Pahrump, Nevada (United States of America)",,Buck Gunderson,170 lbs. (77 kg) at 5'9'' (1.75 m),,,,
16295,Bendy Casimir,"Alfortville, Île-de-France (France)",10th June 1980 (age 41),Bendy Casimir,155 lbs. (70 kg) at 5'5'' (1.65 m),14th October 2001 (20 years ago),,,
16297,Casimir Raczynski,,1915,Karl Reginsky,,,,XXXX,
16298,Starsha Battrick,"Lethbridge, Alberta (Canada)",,Amazing Grace ,,2008,5'7'' (1.70 m),,
16299,unknown,"Lethbridge, Alberta (Canada)",,Dilauna,,,,,
16300,unknown,"Billings, Montana (United States of America)",,Lee Montana,,,6'4'' (1.93 m),,
