,Real Name,Weight and Height,Birthplace,wrestler_name,Debut,Height,Date of Birth,Date of Death,Weight
26823,unknown,308 lbs. (140 kg) at 6'4'' (1.93 m),Colorado (United States of America),Pinky,,,,,
26824,unknown,,Mexico,Bull Rogers,,,,,
26825,unknown,,,Hideya Iso,,,,,
26828,unknown,,Japan,Yuki Kubota ,17th June 2000 (21 years ago),,,,
26830,Sammy Blazic,,United States of America,Veronica,,6'1'' (1.85 m),,,
26832,Kazunobu Nakamura,210 lbs. (95 kg) at 6'0'' (1.83 m),"Tokyo, Tokyo (Japan)",Kazunobu Nakamura,1998,,6th January 1967 (age 55),,
26833,Mohan Maharjan,,Nepal,Mohan Dragon,,,,,
26834,Noel Farrell,270 lbs. (122 kg) at 6'3'' (1.91 m),"Dublin, Dublin (Ireland)",Jason Slayer,22nd May 2005 (16 years ago),,24th November 1981 (age 40),,
26837,unknown,,,Tom Nakamura,,,,,
26838,unknown,,Nepal,Rajiv Shrestha,,,,,
26839,unknown,163 lbs. (74 kg) at 5'5'' (1.65 m),Japan,Taro Yamada,24th February 2007 (15 years ago),,,,
26840,unknown,,,Kouzy,,,,,
26841,unknown,,,K666,,,,,
26842,unknown,210 lbs. (95 kg) at 5'10'' (1.78 m),"Osaka, Osaka (Japan)",Knight King Jully,,,,,
26843,unknown,187 lbs. (85 kg) at 6'0'' (1.83 m),"Saitama, Saitama (Japan)",Lose Face,,,,,
26845,unknown,,Jalisco (Mexico),Sunny,,,3rd January 1990 (age 32),,
26846,unknown,,Mexico,Picudito,,,,,
26848,unknown,,Mexico,Black Templar Jr.,,,,,
26849,unknown,,Jalisco (Mexico),El Brujo,,,24th May 1973 (age 48),,
26850,Xavier Alferez,,"Guadalajara, Jalisco (Mexico)",Black Psaico,,,16th August 1980 (age 41),,
26851,Adrian Pérez,,Mexico,Crazy 32,,,,,
26853,unknown,205 lbs. (93 kg) at 5'11'' (1.80 m),"Detroit, Michigan (United States of America)",Devin Diamond,,,,,
26854,unknown,263 lbs. (119 kg) at 6'9'' (2.06 m),"Hamtramck, Michigan (United States of America)",Brezner,,,,,
26855,Ozzy Zulu Cherry,246 lbs. (112 kg) at 6'2'' (1.88 m),Gambia,Malik Omari,1994,,6th January 1986 (age 36),,
26857,unknown,157 lbs. (71 kg) at 6'0'' (1.83 m),"Alta, Finnmark (Norway)",Ruslan,,,,,
26858,unknown,176 lbs. (80 kg) at 5'10'' (1.78 m),Norway,Adrian Storm,??th November 2011,,,,
26859,unknown,265 lbs. (120 kg) at 6'3'' (1.91 m),Norway,Samhain,??th August 2012,,,,
26860,unknown,,Norway,Sven Berg,,,,,
26861,unknown,143 lbs. (65 kg) at 5'9'' (1.75 m),"Lorient, Bretagne (France)",Morgane Leigh ,2011,,1991,,
26862,unknown,198 lbs. (90 kg) at 5'7'' (1.70 m),"Toronto, Ontario (Canada)",Christina Dutkowski ,,,1st October 1964 (age 57),,
26864,Jennifer Mull,,New Jersey (United States of America),Bridget Nelson ,1994,,1976,,
26866,William James McCloud,,"Warren, Michigan (United States of America)",Jimmy Redding,,,17th December 1979,8th March 2013,
26867,Antonio Campos Reina,,Mexico,La Cobra,,,,,
26868,Kiyotaka Otsubo,205 lbs. (93 kg) at 5'7'' (1.70 m),Tottori (Japan),Kiyotaka Otsubo,,,10th July 1927,XXXX,
26869,unknown,,Mexico,Kro Dos Mil,,,,,
26870,unknown,192 lbs. (87 kg) at 5'9'' (1.75 m),"Hiratsuka, Kanagawa (Japan)",Yuki Takasugi,2nd September 2012 (9 years ago),,8th March 1991 (age 31),,
26871,unknown,,,Kill-Vearn,,,,,
26873,unknown,154 lbs. (70 kg) at 5'6'' (1.68 m),"Tokyo, Tokyo (Japan)",Keisuke Nakanishi,,,7th February 1965 (age 57),,
26874,unknown,,Mexico,Zonik,13th December 1998 (23 years ago),,,,
26876,Shigeru Saeki,245 lbs. (111 kg) at 5'7'' (1.70 m),Toyama (Japan),Shigeru Saeki,28th December 2003 (18 years ago),,24th June 1969 (age 52),,
26878,Anthony Netzler,265 lbs. (120 kg) at 6'2'' (1.88 m),New Zealand,Anthony Netzler,25th April 1998 (23 years ago),,26th December 1967 (age 54),,
26879,Daniela Mack,,Argentina,Daniela ,,,,,
26880,Yuka Enda,110 lbs. (50 kg) at 5'1'' (1.55 m),"Sagamihara, Kanagawa (Japan)",MICKEY*Yuka ,8th June 2004 (17 years ago),,9th October 1978 (age 43),,
26882,unknown,,"Ciudad de México, Ciudad de México (Mexico)",Galilea ,,,,,
26883,unknown,227 lbs. (103 kg) at 6'0'' (1.83 m),India,Naranjan Singh,,,1945,,
26884,Mark Pasman,,Rezekne (Latvia),Mark Pasman,,,25th April 1909,1942,
26886,unknown,,"Guadalajara, Jalisco (Mexico)",Pokarito,,,4th September 1977 (age 44),,
26887,unknown,200 lbs. (91 kg) at 6'0'' (1.83 m),United States of America,Tyler Cintron,,,,,
26888,unknown,,United States of America,Najasism,,,,,
26890,unknown,,"Telchac Puerto, Yucatán (Mexico)",Anime ,16th March 2013 (9 years ago),,1st January 1982 (age 40),,
26892,unknown,82 lbs. (37 kg) at 4'8'' (1.42 m),Gunma (Japan),Kotori ,30th December 2012 (9 years ago),,26th June 1998 (age 23),,
26893,unknown,,Mexico,Lobito,,,,,
26894,Todd Harris,,United States of America,Todd Harris,,,,,
26895,unknown,235 lbs. (107 kg) at 6'0'' (1.83 m),,Falcon,2nd February 2013 (9 years ago),,,,
26896,unknown,208 lbs. (94 kg) at 5'10'' (1.78 m),,Phoenix,2nd February 2013 (9 years ago),,,,
26898,unknown,,Yamaguchi (Japan),Urban Ken,3rd November 1999 (22 years ago),,1st March 1977 (age 45),,
26899,unknown,199 lbs. (90 kg) at 6'2'' (1.88 m),,Cobra Kai,9th January 2010 (12 years ago),,,,
