,Real Name,Birthplace,wrestler_name,Date of Birth,Debut,Weight and Height,Date of Death,Height,Weight
28937,unknown,Mexico,Thai Boxer,,,,,,
28940,unknown,Sinaloa (Mexico),Jorge Rubio,,,,,,
28941,unknown,"Ciudad de México, Ciudad de México (Mexico)",Raúl Guerrero,,,,,,
28942,unknown,"Autlán de Navarro, Jalisco (Mexico)",Fili Espinoza,31st May 1919 (age 102),1941,,,,
28947,unknown,,Platinum Nat,,??th November 1997,200 lbs. (91 kg) at 6'3'' (1.91 m),,,
28948,Simon Spiteri,,Mighty Caramba,,,,,,
28949,Tim Wiese,"Bergisch Gladbach, Nordrhein-Westfalen (Germany)",Tim Wiese,17th December 1981 (age 40),,284 lbs. (129 kg) at 6'4'' (1.93 m),,,
28950,Theodore Gordienko,"Winnipeg, Manitoba (Canada)",Ted Gordienko,11th February 1923,,,1st April 2005,,
28951,Louis Goegan,"Thunder Bay, Ontario (Canada)",Blackie Goegan,,,,,,
28952,unknown,"Frankfurt am Main, Hessen (Germany)",Mo Jnibi,,15th September 2012 (9 years ago),155 lbs. (70 kg) at 5'7'' (1.70 m),,,
28953,Daniel Shay,United States of America,Danny Shay,,,,,,
28954,John Washington,,Owen Travers,,,,,,
28957,unknown,,Tomoya Kawamura,23rd December 1989 (age 32),,176 lbs. (80 kg) at 5'9'' (1.75 m),,,
28958,Paul Metzler,"Lebanon, Pennsylvania (United States of America)",Tommy Idol,12th March 1972 (age 50),21st April 1995 (26 years ago),,,,
28964,unknown,,Timo Theiss,,29th July 2012 (9 years ago),,,,
28976,unknown,Querétaro Arteaga (Mexico),Revolver Kid,25th December 1994 (age 27),,,,,
28977,unknown,Querétaro Arteaga (Mexico),Marduk,,,,,,
28978,unknown,Querétaro Arteaga (Mexico),Speed Demon,20th February 1994 (age 28),,,,,
28979,unknown,"Irapuato, Guanajuato (Mexico)",Maremoto Jr.,25th August 1997 (age 24),,110 lbs. (50 kg) at 4'11'' (1.50 m),,,
28980,unknown,"Irapuato, Guanajuato (Mexico)",El Joven Maravilla,14th July 1997 (age 24),,,,,
28981,unknown,Mexico,Gran Danger,,,,,,
28982,unknown,Mexico,Súper Xolo,20th June 1977 (age 44),,,,,
28983,unknown,Baja California (Mexico),Mozambique,6th December 1966,??th September 1988,,5th December 2020,,
28984,unknown,Veracruz de Ignacio de la Llave (Mexico),Jaibo García,,,,,,
28986,unknown,"Los Angeles, California (United States of America)",El Gringo sin Ley,10th July 1975 (age 46),,176 lbs. (80 kg) at 5'8'' (1.73 m),,,
28987,unknown,"Tampico, Tamaulipas (Mexico)",Baby Hagar ,28th July ???,,,,,
28988,unknown,"Tampico, Tamaulipas (Mexico)",Estrella Divina ,20th May ???,,,,,
28991,unknown,,Claude Swindell,1887,,,XXXX,,
28992,unknown,,Ganda Singh,,,,,,
28994,unknown,"Chiba, Chiba (Japan)",Marines Mask,,15th July 2013 (8 years ago),165 lbs. (75 kg) at 5'5'' (1.65 m),,,
28995,unknown,"Reynosa, Tamaulipas (Mexico)",Puma,29th October 1995 (age 26),,,,,
28996,unknown,"Monterrey, Nuevo León (Mexico)",Mr. NICE,,,,,,
28998,unknown,Mexico,Star Pink ,19th September ???,,,,,
28999,unknown,"Salamanca, Guanajuato (Mexico)",Dargus,5th April 1995 (age 26),,,,,
29000,Luis Alberto Espinoza,"Salamanca, Guanajuato (Mexico)",Rey Muerte,5th July 1979,5th July 1995 (26 years ago),204 lbs. (93 kg) at 5'1'' (1.55 m),23rd September 2020,,
29001,unknown,Chiba (Japan),Akane Miura ,8th February 1997 (age 25),4th June 2014 (7 years ago),,,5'1'' (1.55 m),
29002,unknown,Mexico,Guerrera Cephei ,,,,,,
29003,unknown,Mexico,Shadow Boy,5th April 1998 (age 23),,,,,
29004,unknown,"Ciudad de México, Ciudad de México (Mexico)",Príncipe Negro,29th June 1993 (age 28),,,,,
29005,unknown,Mexico,Energía,22nd August 1976 (age 45),,,,,
29006,unknown,"Ciudad de México, Ciudad de México (Mexico)",Diamond,5th September 1996 (age 25),,,,,
29007,unknown,Mexico,Hacha de Guerra,,,,,,
29008,unknown,,Bota the Witch Doctor,,,,,,
29009,unknown,,New Guinea Headhunter #2,,,,,,
29010,Fidel Arciniega Basterrechea,País Vasco (Spain),José Ochea,7th December 1919,,,30th April 2000,5'11'' (1.80 m),
29013,Joseph Triner,"Chicago, Illinois (United States of America)",Joe Triner,19th October 1894,,,??th February 1969,,
29014,Richard Theodore Hankel,"Chicago, Illinois (United States of America)",Dick Hankel,22nd May 1889,,,8th July 1984,,
29016,Leslie Bernard Beers,"Pocahontas, Iowa (United States of America)",Leslie Beers,30th December 1906,,,25th November 1973,5'10'' (1.78 m),
29017,unknown,,Clyde Robinson,,,,,,
29018,Scott Ryan Demars,"Salinas, California (United States of America)",Jin Hiryu,15th February 1978,,,13th August 2018,,
29019,unknown,San Luis Potosí (Mexico),Steel Fox,,,,10th February 2022,,
29020,William Beck Ryan,"Lock Haven, Pennsylvania (United States of America)",Bill Ryan,19th May 1913,,,1st January 1993,,
29021,unknown,,Cesar Velasco,,,,,,
29022,unknown,,Orbit Adventure Ant,,,,,,
29023,unknown,,Josh Stroud,,,,,,
29024,Warren Crittenden,United States of America,Cole Crittenden,1970,,,,,
29026,unknown,,Dot Apollo ,,,,,,
29027,unknown,"Yokohama, Kanagawa (Japan)",Isamu Oshita,9th January 1990 (age 32),19th July 2014 (7 years ago),183 lbs. (83 kg) at 5'8'' (1.73 m),,,
29028,unknown,"Okinawa, Okinawa (Japan)",Toshiyuki Sakuda,25th August 1991 (age 30),20th July 2014 (7 years ago),183 lbs. (83 kg) at 5'1'' (1.55 m),,,
29029,Kota Sekifuda,"Nonoichi, Ishikawa (Japan)",Kota Sekifuda,24th June 1995 (age 26),20th July 2014 (7 years ago),170 lbs. (77 kg) at 5'5'' (1.65 m),,,
29030,unknown,,Bill Hoolihan,,,,1948,,
29032,unknown,,Alberto Soto,,,,,,
29033,Joshua Samlin,"Northfield, New Jersey (United States of America)",Violence,22nd December 1984 (age 37),5th August 2006 (15 years ago),,,,
29034,unknown,,David McCall,,,,,,
29035,unknown,,Nate Carter,,,,,,
29036,Aja Smith,"Aracaju, Sergipe (Brazil)",Daphne LaShaunn ,9th June 1994 (age 27),5th October 2013 (8 years ago),155 lbs. (70 kg) at 5'5'' (1.65 m),,,
29037,Porfirio Rendon Arias,Mexico,El Carnicerito,,,,,,
29038,unknown,Australia,Stephen Swann,,,,,,
29039,Sione Finau,"Concord, California (United States of America)",Sione Finau,17th May 1981 (age 40),,,,,
29040,Shuichiro Katsumura,"Yokohama, Kanagawa (Japan)",Shuichiro Katsumura,17th June 1976 (age 45),9th April 1999 (22 years ago),132 lbs. (60 kg) at 5'8'' (1.73 m),,,
29041,unknown,Jalisco (Mexico),Reycko,,,,,,
29042,unknown,"Monterrey, Nuevo León (Mexico)",Centella del Norte,1961,,,,,
29043,Francisco García Garza,"Monterrey, Nuevo León (Mexico)",El Bruto,25th December 1925 (age 96),1953,161 lbs. (73 kg) at 5'9'' (1.75 m),,,
29046,unknown,Japan,Fukin Kitazawa ,30th October 1994 (age 27),30th March 2014 (7 years ago),132 lbs. (60 kg) at 5'1'' (1.55 m),,,
29047,Lee Frances Collins,Maine (United States of America),Lee Collins,3rd September 1909,,235 lbs. (107 kg) at 6'0'' (1.83 m),10th June 1956,,
29048,unknown,"Vancouver, British Columbia (Canada)",Violet ,14th May ???,2014,125 lbs. (57 kg) at 5'6'' (1.68 m),,,
29049,unknown,"Surrey, British Columbia (Canada)",Chris Vörös,,,,,,
29050,unknown,"Surrey, British Columbia (Canada)",Patrick Vörös,,,,,,
29051,unknown,"Vancouver, British Columbia (Canada)",Skarlet ,1995,2014,115 lbs. (52 kg) at 5'4'' (1.63 m),,,
29053,Randy Hawkins,Canada,Karl Cunningham,,,,,,
29054,Jack Stewart,Canada,Jack Cunningham,,,,,,
29055,unknown,,Harold Spang,,,,,,
29056,Laurence E. Pressnall,"Denver, Colorado (United States of America)",Larry Pressnall,31st October 1926,,,21st May 1981,,
29057,James Ebenezer Potts,"Somerset, Wisconsin (United States of America)",Jimmy Potts,8th April 1879,,,24th March 1956,5'6'' (1.68 m),
29058,unknown,Quebec (Canada),Domino Jonathan,,,209 lbs. (95 kg) at 6'1'' (1.85 m),,,
29059,unknown,Canada,Sly Silverstone,,,,,,
29060,unknown,Canada,Illusion ,,,,,,
29061,unknown,Canada,Farmer Joe,,,,,,
29063,unknown,Quebec (Canada),Psycho Pat,,,205 lbs. (93 kg) at 6'3'' (1.91 m),,,
29067,Walter Lolley II.,,Rip Steele,,,,,,
29072,Bernard Ackah,"Bonn, Nordrhein-Westfalen (Germany)",Bernard Ackah,9th April 1972 (age 49),12th March 2007 (15 years ago),200 lbs. (91 kg) at 6'1'' (1.85 m),,,
29074,Warren Upton Allenbaugh,,Dutch Allen,2nd December 1929,,,30th May 1981,,
29075,George Leopold Baltzer,"Lorain, Ohio (United States of America)",George Baltzer,2nd August 1895,,,19th March 1947,5'10'' (1.78 m),
29077,George Alphonso Kinney,"Odell, Nebraska (United States of America)",George Kinney,23rd June 1886,,,3rd July 1938,,
29078,John Joseph Lippan,,Jack Lippon,1894,,,1964,,
29079,Louis Edwin Reif,Kansas (United States of America),Louis Reif,26th July 1904,,,2nd January 1984,,
29082,unknown,"Montréal, Quebec (Canada)",Liam Letto,,,,,,
29083,Enelio Visocchi,"Montréal, Quebec (Canada)",Emile Gordon,1923,,,19th April 2003,,
29085,Carlos Alberto Romero Mendoza,Mexico,Carlos Mendoza,,,,,,
29089,unknown,Nuevo León (Mexico),El Divo,,,,,,
29090,Hiroe Nagahama,"Niigata, Niigata (Japan)",HIROe ,4th November 1995 (age 26),29th October 2014 (7 years ago),132 lbs. (60 kg) at 5'2'' (1.57 m),,,
