given_address,lat,lon,formatted,name,street,county_code,postcode,suburb,district,city,state_code,confidence_street_level,county,state,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
"Aomori, Aomori (Japan)",40.8221517,140.7471238,"Aomori, Aomori Prefecture, Japan",,,,,,,Aomori,,,Aomori Prefecture,,Japan,jp,1,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Spielberg bei Knittelfeld, Steiermark (Austria)",47.215692,14.831471,"Knittelfeld, Murtal, Austria",,,,,,Knittelfeld,Knittelfeld,,,Murtal,Styria,Austria,at,0,,,,https://www.whosonfirst.org/docs/licenses/
"Goodsoil, Saskatchewan (Canada)",54.399722,-109.226111,"Goodsoil, SK S0M 1A0, Canada",,,,S0M 1A0,,,Goodsoil,SK,,,Saskatchewan,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Mexico,23.6585116,-102.0077097,Mexico,,,,,,,,,,,,Mexico,mx,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Houston, Texas (United States of America)",29.7589382,-95.3676974,"Houston, TX, United States of America",,,,,,,Houston,TX,,Harris County,Texas,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Tijuana, Baja California (Mexico)",32.5010188,-116.964662,"22105 Tijuana, BCN, Mexico",Tijuana,,,22105,,,Tijuana,BCN,,Municipio de Tijuana,Baja California,Mexico,mx,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"New York City, New York (United States of America)",40.7127281,-74.0060152,"New York, NY, United States of America",,,,,,,New York,NY,,,New York,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Rochester, New York (United States of America)",43.157285,-77.615214,"Rochester, NY, United States of America",,,,,,,Rochester,NY,,Monroe County,New York,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Lorain, Ohio (United States of America)",41.4673238,-82.1781904,"Lorain, OH, United States of America",,,,,,,Lorain,OH,,Lorain County,Ohio,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Edison, New Jersey (United States of America)",41.063986,-74.5676593,"Edison, Sparta Township, NJ 07439, United States of America",Edison,,,07439,Edison,,Sparta Township,NJ,,Sussex County,New Jersey,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
